Genre,Âge,Statut,Revenus,Fumeur?,Cigarettes par jour (week-end),Cigarettes par jour (semaine),Type
Femme,58,Marrié,"5,200 à 10,400",Non,0,0,
Femme,49,Marrié,"2,600 à 5,200",Non,0,0,
Homme,39,Célibataire,"28,600 à 36,400",Non,0,0,
Femme,53,Marrié,"5,200 à 10,400",Oui,15,15,Les deux
Femme,71,Marrié,"10,400 à 15,600",Non,0,0,
Homme,29,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,66,Marrié,"15,600 à 20,800",Non,0,0,
Homme,75,Marrié,"20,800 à 28,600",Non,0,0,
Femme,45,Divorcé,"28,600 à 36,400",Non,0,0,
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Femme,49,Divorcé,"15,600 à 20,800",Non,0,0,
Homme,63,Marrié,"15,600 à 20,800",Non,0,0,
Homme,61,Marrié,"5,200 à 10,400",Non,0,0,
Femme,55,Marrié,"2,600 à 5,200",Non,0,0,
Homme,57,Marrié,"10,400 à 15,600",Non,0,0,
Femme,60,Marrié,"2,600 à 5,200",Non,0,0,
Homme,58,Marrié,"20,800 à 28,600",Non,0,0,
Femme,76,Veuf,"5,200 à 10,400",Oui,10,6,Paquets
Homme,29,Célibataire,"20,800 à 28,600",Oui,20,20,Paquets
Femme,50,Marrié,"5,200 à 10,400",Non,0,0,
Homme,40,Marrié,,Non,0,0,
Femme,34,Marrié,"5,200 à 10,400",Non,0,0,
Femme,77,Veuf,"2,600 à 5,200",Non,0,0,
Homme,47,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,68,Marrié,"Sous 2,600",Non,0,0,
Homme,31,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,41,Marrié,"20,800 à 28,600",Non,0,0,
Femme,55,Marrié,"5,200 à 10,400",Oui,25,15,Paquets
Homme,66,Marrié,"5,200 à 10,400",Non,0,0,
Femme,80,Marrié,"Sous 2,600",Non,0,0,
Femme,45,Marrié,"2,600 à 5,200",Non,0,0,
Homme,63,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,62,Marrié,"20,800 à 28,600",Non,0,0,
Femme,49,Marrié,"10,400 à 15,600",Non,0,0,
Homme,33,Marrié,"10,400 à 15,600",Non,0,0,
Femme,16,Célibataire,,Non,0,0,
Homme,58,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,33,Separated,"5,200 à 10,400",Non,0,0,
Homme,65,Marrié,"28,600 à 36,400",Non,0,0,
Femme,39,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,57,Marrié,"15,600 à 20,800",Oui,6,4,Paquets
Femme,31,Marrié,"2,600 à 5,200",Non,0,0,
Homme,79,Marrié,"10,400 à 15,600",Non,0,0,
Femme,16,Célibataire,"Sous 2,600",Oui,2,2,Paquets
Femme,54,Marrié,"10,400 à 15,600",Non,0,0,
Femme,37,Divorcé,"10,400 à 15,600",Oui,12,12,Paquets
Femme,87,Veuf,"5,200 à 10,400",Non,0,0,
Homme,32,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,72,Marrié,"5,200 à 10,400",Non,0,0,
Homme,20,Marrié,"10,400 à 15,600",Oui,30,15,Roulées à la main
Homme,77,Marrié,"2,600 à 5,200",Non,0,0,
Femme,63,Marrié,"Sous 2,600",Non,0,0,
Homme,56,Marrié,"10,400 à 15,600",Non,0,0,
Homme,34,Célibataire,"15,600 à 20,800",Oui,10,5,Roulées à la main
Femme,24,Marrié,"20,800 à 28,600",Non,0,0,
Femme,42,Célibataire,"15,600 à 20,800",Oui,10,3,Roulées à la main
Homme,71,Marrié,"5,200 à 10,400",Non,0,0,
Femme,48,Marrié,"15,600 à 20,800",Non,0,0,
Homme,38,Separated,"28,600 à 36,400",Non,0,0,
Femme,55,Divorcé,"Sous 2,600",Non,0,0,
Homme,50,Marrié,"20,800 à 28,600",Non,0,0,
Homme,30,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,72,Marrié,"10,400 à 15,600",Non,0,0,
Homme,59,Marrié,"15,600 à 20,800",Non,0,0,
Femme,68,Marrié,"15,600 à 20,800",Non,0,0,
Homme,48,Marrié,"20,800 à 28,600",Non,0,0,
Homme,42,Veuf,"15,600 à 20,800",Non,0,0,
Femme,72,Divorcé,"2,600 à 5,200",Non,0,0,
Homme,54,Marrié,,Non,0,0,
Femme,53,Divorcé,,Oui,7,12,Paquets
Femme,86,Marrié,"Sous 2,600",Non,0,0,
Femme,57,Divorcé,"5,200 à 10,400",Oui,20,15,Les deux
Femme,30,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,35,Célibataire,,Oui,20,20,Roulées à la main
Femme,25,Separated,"10,400 à 15,600",Oui,20,20,Paquets
Homme,67,Marrié,"5,200 à 10,400",Non,0,0,
Femme,33,Divorcé,"28,600 à 36,400",Non,0,0,
Femme,51,Marrié,"5,200 à 10,400",Oui,15,3,Paquets
Femme,54,Marrié,"20,800 à 28,600",Non,0,0,
Homme,86,Marrié,,Non,0,0,
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Femme,23,Marrié,"5,200 à 10,400",Non,0,0,
Femme,33,Célibataire,"15,600 à 20,800",Oui,18,12,Paquets
Homme,79,Marrié,"5,200 à 10,400",Non,0,0,
Homme,21,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,37,Divorcé,"2,600 à 5,200",Non,0,0,
Homme,40,Marrié,"5,200 à 10,400",Oui,20,20,Les deux
Homme,79,Célibataire,,Non,0,0,
Femme,34,Divorcé,"5,200 à 10,400",Oui,10,10,Roulées à la main
Homme,28,Célibataire,"10,400 à 15,600",Oui,10,10,Roulées à la main
Femme,44,Marrié,"2,600 à 5,200",Oui,15,10,Paquets
Femme,64,Marrié,"2,600 à 5,200",Non,0,0,
Femme,51,Separated,"10,400 à 15,600",Non,0,0,
Homme,21,Célibataire,"10,400 à 15,600",Oui,20,10,Paquets
Homme,40,Célibataire,"2,600 à 5,200",Oui,1,2,Roulées à la main
Femme,42,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,47,Divorcé,"5,200 à 10,400",Non,0,0,
Homme,73,Veuf,"5,200 à 10,400",Non,0,0,
Femme,18,Célibataire,"2,600 à 5,200",Oui,15,15,Paquets
Homme,24,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,69,Veuf,"5,200 à 10,400",Non,0,0,
Femme,61,Marrié,"2,600 à 5,200",Non,0,0,
Femme,83,Célibataire,,Non,0,0,
Femme,80,Veuf,"2,600 à 5,200",Non,0,0,
Femme,80,Marrié,"Sous 2,600",Non,0,0,
Femme,26,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,34,Separated,"10,400 à 15,600",Non,0,0,
Homme,34,Marrié,"28,600 à 36,400",Non,0,0,
Femme,39,Célibataire,"15,600 à 20,800",Oui,10,7,Roulées à la main
Homme,33,Marrié,"5,200 à 10,400",Oui,40,20,Paquets
Homme,36,Marrié,"15,600 à 20,800",Non,0,0,
Femme,39,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,35,Marrié,"15,600 à 20,800",Oui,10,7,Roulées à la main
Femme,89,Veuf,"2,600 à 5,200",Non,0,0,
Femme,23,Marrié,"5,200 à 10,400",Oui,10,10,Paquets
Femme,32,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,32,Marrié,"5,200 à 10,400",Oui,10,6,Paquets
Homme,35,Marrié,"2,600 à 5,200",Oui,5,5,Paquets
Femme,18,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,44,Divorcé,"15,600 à 20,800",Non,0,0,
Femme,75,Marrié,"5,200 à 10,400",Non,0,0,
Femme,65,Marrié,"Sous 2,600",Non,0,0,
Femme,54,Marrié,"20,800 à 28,600",Non,0,0,
Homme,32,Marrié,"28,600 à 36,400",Non,0,0,
Femme,57,Marrié,"2,600 à 5,200",Non,0,0,
Femme,50,Marrié,"10,400 à 15,600",Oui,20,15,Paquets
Femme,58,Marrié,"2,600 à 5,200",Non,0,0,
Femme,30,Marrié,"5,200 à 10,400",Non,0,0,
Femme,57,Marrié,"15,600 à 20,800",Non,0,0,
Femme,60,Marrié,"2,600 à 5,200",Oui,15,15,Roulées à la main
Femme,78,Separated,"2,600 à 5,200",Non,0,0,
Femme,44,Marrié,"10,400 à 15,600",Oui,20,20,Paquets
Homme,32,Célibataire,"Au-dessus 36,400",Oui,20,10,Paquets
Femme,56,Separated,"28,600 à 36,400",Non,0,0,
Homme,51,Marrié,"15,600 à 20,800",Non,0,0,
Homme,71,Marrié,"5,200 à 10,400",Non,0,0,
Femme,74,Veuf,"2,600 à 5,200",Non,0,0,
Femme,56,Célibataire,"15,600 à 20,800",Oui,35,25,Paquets
Femme,80,Veuf,"Sous 2,600",Non,0,0,
Femme,51,Marrié,"15,600 à 20,800",Non,0,0,
Femme,53,Veuf,"10,400 à 15,600",Non,0,0,
Homme,80,Marrié,"20,800 à 28,600",Non,0,0,
Homme,42,Marrié,"20,800 à 28,600",Oui,0,2,Paquets
Femme,82,Veuf,"10,400 à 15,600",Non,0,0,
Homme,58,Marrié,"5,200 à 10,400",Non,0,0,
Femme,78,Marrié,"10,400 à 15,600",Non,0,0,
Homme,61,Marrié,"20,800 à 28,600",Oui,20,20,Paquets
Femme,49,Célibataire,"10,400 à 15,600",Oui,20,15,Paquets
Femme,51,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,48,Marrié,"10,400 à 15,600",Non,0,0,
Femme,37,Marrié,"10,400 à 15,600",Non,0,0,
Homme,51,Marrié,"10,400 à 15,600",Oui,5,5,Paquets
Homme,55,Marrié,"10,400 à 15,600",Non,0,0,
Femme,48,Marrié,"10,400 à 15,600",Non,0,0,
Femme,82,Veuf,"5,200 à 10,400",Non,0,0,
Femme,56,Marrié,"2,600 à 5,200",Non,0,0,
Femme,71,Veuf,"5,200 à 10,400",Non,0,0,
Homme,30,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,73,Veuf,"5,200 à 10,400",Non,0,0,
Femme,35,Marrié,"Sous 2,600",Oui,10,8,Paquets
Homme,79,Marrié,"5,200 à 10,400",Non,0,0,
Homme,75,Veuf,"5,200 à 10,400",Oui,2,1,Paquets
Femme,49,Marrié,"5,200 à 10,400",Non,0,0,
Femme,74,Marrié,"Sous 2,600",Non,0,0,
Homme,33,Marrié,"5,200 à 10,400",Non,0,0,
Femme,81,Veuf,"2,600 à 5,200",Non,0,0,
Femme,63,Marrié,"2,600 à 5,200",Non,0,0,
Femme,78,Veuf,"2,600 à 5,200",Non,0,0,
Homme,68,Veuf,"5,200 à 10,400",Oui,18,18,Paquets
Homme,73,Marrié,"5,200 à 10,400",Non,0,0,
Femme,34,Marrié,"15,600 à 20,800",Non,0,0,
Femme,36,Divorcé,"10,400 à 15,600",Oui,15,15,Roulées à la main
Femme,16,Célibataire,"Sous 2,600",Non,0,0,
Homme,72,Veuf,"5,200 à 10,400",Non,0,0,
Femme,66,Marrié,"5,200 à 10,400",Non,0,0,
Femme,41,Marrié,"10,400 à 15,600",Non,0,0,
Femme,49,Marrié,"10,400 à 15,600",Oui,20,15,Paquets
Homme,42,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,54,Separated,"10,400 à 15,600",Non,0,0,
Homme,70,Marrié,"10,400 à 15,600",Non,0,0,
Femme,29,Marrié,"20,800 à 28,600",Non,0,0,
Homme,43,Marrié,,Oui,5,10,Paquets
Femme,19,Célibataire,,Non,0,0,
Homme,44,Marrié,"28,600 à 36,400",Non,0,0,
Homme,27,Célibataire,"20,800 à 28,600",Oui,10,10,Paquets
Homme,68,Marrié,"20,800 à 28,600",Non,0,0,
Femme,80,Veuf,"15,600 à 20,800",Non,0,0,
Homme,85,Veuf,"10,400 à 15,600",Non,0,0,
Homme,65,Marrié,"2,600 à 5,200",Non,0,0,
Femme,88,Veuf,"5,200 à 10,400",Non,0,0,
Femme,76,Veuf,,Non,0,0,
Homme,81,Marrié,"5,200 à 10,400",Non,0,0,
Femme,44,Separated,"5,200 à 10,400",Oui,1,1,Paquets
Femme,34,Marrié,"10,400 à 15,600",Non,0,0,
Femme,55,Marrié,"2,600 à 5,200",Non,0,0,
Homme,77,Veuf,,Non,0,0,
Femme,33,Marrié,,Non,0,0,
Homme,82,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,77,Veuf,"5,200 à 10,400",Non,0,0,
Homme,19,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,70,Veuf,,Non,0,0,
Femme,74,Veuf,"5,200 à 10,400",Non,0,0,
Femme,57,Marrié,"2,600 à 5,200",Non,0,0,
Femme,44,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,38,Célibataire,,Non,0,0,
Homme,43,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,57,Separated,"2,600 à 5,200",Non,0,0,
Femme,54,Divorcé,"2,600 à 5,200",Oui,20,20,Les deux
Homme,17,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,60,Marrié,"10,400 à 15,600",Non,0,0,
Femme,50,Marrié,"Sous 2,600",Non,0,0,
Femme,24,Célibataire,"10,400 à 15,600",Oui,8,2,Paquets
Femme,78,Veuf,"2,600 à 5,200",Non,0,0,
Homme,60,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,85,Veuf,"5,200 à 10,400",Oui,6,6,Paquets
Homme,59,Marrié,"10,400 à 15,600",Non,0,0,
Homme,65,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,55,Marrié,,Non,0,0,
Femme,32,Marrié,"15,600 à 20,800",Non,0,0,
Homme,41,Célibataire,"Sous 2,600",Non,0,0,
Femme,31,Célibataire,"10,400 à 15,600",Non,0,0,
Homme,45,Marrié,"5,200 à 10,400",Oui,20,20,Les deux
Femme,30,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,19,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,76,Veuf,"5,200 à 10,400",Non,0,0,
Homme,73,Marrié,"10,400 à 15,600",Non,0,0,
Homme,19,Célibataire,,Oui,5,2,Paquets
Homme,34,Marrié,"28,600 à 36,400",Non,0,0,
Femme,59,Marrié,"5,200 à 10,400",Non,0,0,
Femme,22,Célibataire,"5,200 à 10,400",Oui,40,10,Paquets
Femme,27,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,45,Marrié,"15,600 à 20,800",Non,0,0,
Femme,69,Veuf,"10,400 à 15,600",Non,0,0,
Homme,76,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,54,Marrié,"28,600 à 36,400",Non,0,0,
Homme,72,Marrié,"5,200 à 10,400",Non,0,0,
Femme,89,Veuf,"2,600 à 5,200",Non,0,0,
Femme,78,Veuf,,Oui,6,6,Paquets
Femme,60,Marrié,,Non,0,0,
Femme,39,Marrié,"10,400 à 15,600",Non,0,0,
Homme,28,Célibataire,"5,200 à 10,400",Oui,5,5,Les deux
Homme,23,Célibataire,"Sous 2,600",Oui,30,10,Les deux
Homme,26,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,52,Marrié,"5,200 à 10,400",Non,0,0,
Femme,54,Marrié,"10,400 à 15,600",Non,0,0,
Homme,20,Célibataire,"10,400 à 15,600",Oui,10,10,Paquets
Femme,59,Marrié,,Non,0,0,
Homme,30,Marrié,"15,600 à 20,800",Non,0,0,
Homme,41,Marrié,"10,400 à 15,600",Non,0,0,
Femme,26,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,27,Marrié,"2,600 à 5,200",Non,0,0,
Homme,49,Marrié,,Oui,20,20,Paquets
Homme,29,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,36,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,43,Divorcé,"15,600 à 20,800",Non,0,0,
Homme,29,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,34,Separated,"5,200 à 10,400",Oui,15,10,Paquets
Femme,81,Marrié,,Non,0,0,
Femme,30,Célibataire,"10,400 à 15,600",Oui,5,10,Roulées à la main
Homme,25,Célibataire,"20,800 à 28,600",Oui,20,20,Paquets
Homme,59,Divorcé,"10,400 à 15,600",Oui,35,35,Paquets
Femme,44,Veuf,"2,600 à 5,200",Non,0,0,
Homme,64,Marrié,,Non,0,0,
Femme,35,Marrié,,Non,0,0,
Homme,40,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,65,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,17,Célibataire,,Non,0,0,
Homme,72,Marrié,"15,600 à 20,800",Non,0,0,
Femme,29,Marrié,"Sous 2,600",Non,0,0,
Homme,39,Marrié,"28,600 à 36,400",Non,0,0,
Homme,70,Veuf,"5,200 à 10,400",Non,0,0,
Homme,73,Marrié,"5,200 à 10,400",Non,0,0,
Homme,46,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,59,Marrié,"5,200 à 10,400",Non,0,0,
Femme,77,Veuf,"2,600 à 5,200",Non,0,0,
Femme,42,Marrié,"10,400 à 15,600",Oui,20,20,Paquets
Homme,41,Marrié,"20,800 à 28,600",Non,0,0,
Homme,49,Marrié,"15,600 à 20,800",Oui,20,15,Paquets
Homme,67,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,65,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,40,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,49,Separated,"28,600 à 36,400",Non,0,0,
Homme,34,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,64,Marrié,"Sous 2,600",Non,0,0,
Femme,44,Veuf,"10,400 à 15,600",Non,0,0,
Femme,72,Veuf,"2,600 à 5,200",Non,0,0,
Homme,32,Marrié,"20,800 à 28,600",Oui,20,20,Paquets
Femme,53,Marrié,,Non,0,0,
Femme,50,Marrié,"15,600 à 20,800",Non,0,0,
Femme,63,Divorcé,"5,200 à 10,400",Non,0,0,
Femme,57,Marrié,"5,200 à 10,400",Non,0,0,
Homme,40,Marrié,,Non,0,0,
Femme,88,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,57,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,54,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,58,Veuf,"20,800 à 28,600",Non,0,0,
Femme,77,Divorcé,"5,200 à 10,400",Non,0,0,
Femme,45,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,31,Célibataire,"Sous 2,600",Non,0,0,
Homme,31,Marrié,"20,800 à 28,600",Non,0,0,
Homme,80,Veuf,"28,600 à 36,400",Non,0,0,
Homme,67,Veuf,"20,800 à 28,600",Oui,30,30,Paquets
Homme,40,Célibataire,,Oui,20,10,Paquets
Femme,70,Veuf,,Non,0,0,
Femme,28,Célibataire,"Sous 2,600",Oui,30,10,Paquets
Homme,30,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,70,Divorcé,,Non,0,0,
Homme,57,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,76,Veuf,"10,400 à 15,600",Non,0,0,
Femme,89,Veuf,"2,600 à 5,200",Non,0,0,
Homme,81,Marrié,"2,600 à 5,200",Non,0,0,
Femme,30,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,39,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,73,Marrié,"Sous 2,600",Oui,15,15,Paquets
Femme,39,Marrié,,Non,0,0,
Femme,76,Veuf,"2,600 à 5,200",Non,0,0,
Homme,62,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,66,Marrié,"2,600 à 5,200",Non,0,0,
Femme,53,Separated,"28,600 à 36,400",Non,0,0,
Homme,60,Marrié,"10,400 à 15,600",Non,0,0,
Femme,36,Marrié,"2,600 à 5,200",Non,0,0,
Femme,40,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,57,Separated,"28,600 à 36,400",Oui,15,15,Paquets
Homme,16,Célibataire,"Sous 2,600",Oui,25,20,Roulées à la main
Femme,25,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,58,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,49,Divorcé,"5,200 à 10,400",Non,0,0,
Femme,48,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,76,Veuf,"5,200 à 10,400",Non,0,0,
Homme,88,Veuf,"5,200 à 10,400",Non,0,0,
Homme,35,Marrié,"10,400 à 15,600",Non,0,0,
Homme,43,Marrié,"20,800 à 28,600",Non,0,0,
Femme,69,Veuf,"2,600 à 5,200",Non,0,0,
Femme,64,Veuf,"5,200 à 10,400",Oui,20,20,Paquets
Femme,40,Divorcé,"10,400 à 15,600",Oui,20,20,Paquets
Homme,78,Marrié,,Non,0,0,
Homme,58,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,34,Marrié,"Sous 2,600",Oui,3,0,Paquets
Femme,46,Marrié,"20,800 à 28,600",Non,0,0,
Femme,65,Marrié,"20,800 à 28,600",Non,0,0,
Femme,34,Célibataire,"10,400 à 15,600",Oui,20,10,Les deux
Femme,40,Separated,"5,200 à 10,400",Non,0,0,
Homme,79,Marrié,,Non,0,0,
Homme,36,Marrié,"10,400 à 15,600",Non,0,0,
Femme,39,Marrié,"2,600 à 5,200",Non,0,0,
Homme,24,Marrié,"15,600 à 20,800",Non,0,0,
Femme,28,Célibataire,"2,600 à 5,200",Oui,20,10,Les deux
Femme,26,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,45,Veuf,"Sous 2,600",Non,0,0,
Femme,24,Célibataire,"5,200 à 10,400",Oui,18,10,Paquets
Homme,77,Divorcé,"2,600 à 5,200",Non,0,0,
Femme,78,Marrié,"10,400 à 15,600",Non,0,0,
Homme,25,Célibataire,,Non,0,0,
Homme,36,Marrié,"15,600 à 20,800",Non,0,0,
Homme,17,Célibataire,,Non,0,0,
Homme,55,Marrié,"28,600 à 36,400",Non,0,0,
Femme,70,Marrié,"5,200 à 10,400",Non,0,0,
Femme,43,Célibataire,"20,800 à 28,600",Oui,15,8,Roulées à la main
Femme,59,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,32,Marrié,"Sous 2,600",Non,0,0,
Femme,34,Marrié,"Sous 2,600",Non,0,0,
Homme,58,Célibataire,"28,600 à 36,400",Non,0,0,
Homme,44,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,64,Marrié,,Oui,0,0,Paquets
Femme,34,Marrié,"5,200 à 10,400",Non,0,0,
Homme,32,Célibataire,,Non,0,0,
Homme,38,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,28,Célibataire,"28,600 à 36,400",Non,0,0,
Homme,42,Marrié,"20,800 à 28,600",Non,0,0,
Femme,34,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,23,Célibataire,"5,200 à 10,400",Oui,15,5,Les deux
Homme,55,Separated,"15,600 à 20,800",Non,0,0,
Homme,65,Marrié,"5,200 à 10,400",Non,0,0,
Femme,62,Marrié,"2,600 à 5,200",Non,0,0,
Femme,66,Marrié,"15,600 à 20,800",Non,0,0,
Femme,73,Marrié,"Sous 2,600",Non,0,0,
Homme,34,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,33,Marrié,"2,600 à 5,200",Non,0,0,
Homme,76,Veuf,"5,200 à 10,400",Non,0,0,
Femme,55,Marrié,"2,600 à 5,200",Oui,1,0,Paquets
Femme,39,Marrié,"Sous 2,600",Non,0,0,
Femme,26,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,61,Marrié,"15,600 à 20,800",Oui,25,25,Paquets
Femme,78,Marrié,"2,600 à 5,200",Non,0,0,
Homme,42,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,72,Marrié,"2,600 à 5,200",Non,0,0,
Homme,62,Veuf,"20,800 à 28,600",Oui,30,30,Les deux
Femme,46,Marrié,"10,400 à 15,600",Oui,20,20,Paquets
Homme,24,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,27,Célibataire,"10,400 à 15,600",Oui,6,4,Les deux
Femme,64,Marrié,"5,200 à 10,400",Non,0,0,
Homme,86,Marrié,"28,600 à 36,400",Non,0,0,
Femme,46,Marrié,"20,800 à 28,600",Non,0,0,
Homme,20,Célibataire,"10,400 à 15,600",Oui,20,15,Les deux
Homme,35,Divorcé,"28,600 à 36,400",Non,0,0,
Femme,46,Marrié,"28,600 à 36,400",Oui,30,30,Paquets
Femme,39,Marrié,"Sous 2,600",Non,0,0,
Femme,28,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,33,Marrié,,Non,0,0,
Femme,39,Divorcé,"5,200 à 10,400",Non,0,0,
Homme,45,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,37,Separated,"20,800 à 28,600",Non,0,0,
Homme,29,Marrié,"15,600 à 20,800",Oui,10,5,Paquets
Homme,76,Veuf,"5,200 à 10,400",Non,0,0,
Homme,26,Marrié,"20,800 à 28,600",Non,0,0,
Femme,47,Divorcé,"20,800 à 28,600",Oui,20,10,Paquets
Homme,72,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,72,Marrié,"Sous 2,600",Non,0,0,
Femme,65,Veuf,"2,600 à 5,200",Non,0,0,
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Femme,61,Marrié,,Non,0,0,
Femme,63,Marrié,,Non,0,0,
Homme,16,Célibataire,,Non,0,0,
Homme,61,Divorcé,"2,600 à 5,200",Non,0,0,
Homme,18,Célibataire,"Sous 2,600",Non,0,0,
Homme,76,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,65,Marrié,"5,200 à 10,400",Non,0,0,
Femme,52,Marrié,"5,200 à 10,400",Non,0,0,
Homme,64,Veuf,"10,400 à 15,600",Non,0,0,
Femme,42,Marrié,"Sous 2,600",Non,0,0,
Homme,40,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,28,Marrié,"20,800 à 28,600",Non,0,0,
Homme,40,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,48,Marrié,"28,600 à 36,400",Non,0,0,
Homme,35,Separated,"20,800 à 28,600",Non,0,0,
Femme,30,Célibataire,"5,200 à 10,400",Oui,3,3,Paquets
Femme,26,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,81,Veuf,"5,200 à 10,400",Non,0,0,
Homme,77,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,25,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,66,Marrié,"Sous 2,600",Non,0,0,
Homme,18,Célibataire,"5,200 à 10,400",Oui,15,15,Paquets
Homme,43,Marrié,"15,600 à 20,800",Non,0,0,
Homme,49,Divorcé,"5,200 à 10,400",Oui,20,6,Les deux
Homme,29,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,20,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,75,Veuf,"Sous 2,600",Oui,25,25,Paquets
Homme,40,Marrié,"20,800 à 28,600",Non,0,0,
Femme,64,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,66,Célibataire,,Non,0,0,
Femme,34,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,76,Divorcé,"28,600 à 36,400",Non,0,0,
Homme,30,Marrié,"Au-dessus 36,400",Oui,1,0,Paquets
Homme,55,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,49,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,38,Separated,"10,400 à 15,600",Non,0,0,
Homme,23,Célibataire,,Oui,10,10,Paquets
Homme,77,Marrié,"15,600 à 20,800",Non,0,0,
Homme,46,Célibataire,"10,400 à 15,600",Oui,8,8,Roulées à la main
Femme,26,Separated,"Sous 2,600",Non,0,0,
Femme,26,Célibataire,"28,600 à 36,400",Oui,10,8,Paquets
Homme,45,Célibataire,"Au-dessus 36,400",Oui,7,2,Paquets
Femme,45,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,61,Marrié,,Non,0,0,
Femme,47,Marrié,"5,200 à 10,400",Non,0,0,
Femme,75,Veuf,"10,400 à 15,600",Oui,10,10,Paquets
Femme,36,Divorcé,"2,600 à 5,200",Oui,30,20,Paquets
Homme,26,Célibataire,"2,600 à 5,200",Non,0,0,
