Date,Country,State(USA only),City,Title
22 Jul 2022, USA,Ohio,Cuyahoga Falls,Blossom Music Festival: The Lord of the Rings: The Fellowship of the Ring In Concert,"return overlib('Howard Shore - The Lord of the Rings: The Fellowship of the Ring<BR><BR>Relive the first installment of Peter Jackson’s fantasy adventure trilogy, The Lord of the Rings: The Fellowship of the Ring, in concert with the music performed live by The Cleveland Orchestra.<BR><BR>The music of The Lor')"
22 Jul 2022, USA,California,Los Angeles,Basil Poledouris: The Music and The Movies,"return overlib('Basil Poledouris: The Music and The Movies<BR>Featuring the debut performance of the Los Angeles Film Orchestra<BR>Steven Allen Fox, conductor<BR>SoCal Chorale - Marya Basaraba, Choir Maestra<BR>Produced and Hosted by Robert Townson<BR><BR>The Los Angeles Film Orchestra is honored to welcome Directo')"
22 Jul 2022, USA,Virginia,Vienna,Harry Potter and the Half Blood Prince - In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half Blood Prince<BR><BR>Relive the magic of year six in Harry Potter and the Half-Blood Prince™ in Concert. With this film, based on the sixth installment of J.K. Rowling’s classic saga, fans of all ages can now experience the thrilling tale of Har')"
22 Jul 2022, USA,Utah,Park City,The Music of John Williams,"return overlib('Composer of some of the most popular, recognizable, and critically acclaimed film scores in cinematic history, John Williams’ music has defined movies like Star Wars, Schindler’s List, Jurassic Park, Jaws, Harry Potter, Indiana Jones, and more. Jack Everly leads the Utah Symphony in a co')"
22 Jul 2022, USA,Texas,Houston,Distant World: Music from Final Fantasy,"return overlib('AWR Music Productions, LLC is proud to present the official symphony concert world-tour Distant Worlds: music from FINAL FANTASY. Launched in conjunction with the twentieth anniversary of FINAL FANTASY, this concert tour features the music of Japanese video game composer Nobuo Uematsu. This multimed')"
22 Jul 2022, France,,Anères,Festival du Cinéma muet dÁnères: L’Heure suprême (Seventh Heaven),"return overlib('Music composed and conducted by Vincent Peirani.<BR><BR>Accordion : Vincent Peirani<BR>Guitares : Federico Casagrande<BR>Saxophone : Emile Parisien<BR>Percussion : Stéphane Edouard<BR><BR>The Supreme Hour<BR>(Seventh Heaven)<BR>the Frank Borzage<BR>avec Janet Gaynor, Charles Farrell, Gladys B')"
22 Jul 2022, USA,Indiana,Fishers,John Williams Blockbusters,"return overlib('Get ready for a night of Hollywood’s greatest soundtracks with the Indianapolis Symphony Orchestra under the direction of Conductor Enrico Lopez-Yañez, featuring the music of John Williams and more. ')"
23 Jul 2022, United Kingdom,,Coventry,BOND in Concert,"return overlib('James Bond has been saving the day for more than 50 years and the range of theme music written specially for every single blockbuster Bond film is familiar to audiences all over the world.<BR><BR>Starting with the universal ‘James Bond Theme’ composed by Monty Norman, the brilliant UK co')"
23 Jul 2022, Austria,,Linz,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
23 Jul 2022, USA,Ohio,Cuyahoga Falls,Blossom Music Festival: The Lord of the Rings: The Fellowship of the Ring In Concert,"return overlib('Howard Shore - The Lord of the Rings: The Fellowship of the Ring<BR><BR>Relive the first installment of Peter Jackson’s fantasy adventure trilogy, The Lord of the Rings: The Fellowship of the Ring, in concert with the music performed live by The Cleveland Orchestra.<BR><BR>The music of The Lor')"
23 Jul 2022, USA,Massachusetts,Lenox,BSO Family Concert with Thomas Wilkins,"return overlib('At a BSO Tanglewood Family Concert, parents and children get an up-close, welcoming introduction to the musicians of the BSO. Audience members can enjoy the performance in the Koussevitzky Music Shed or listen while relaxing on the lawn. Pre- and post-concert offerings include program-related arts a')"
23 Jul 2022, South Korea,,Seoul,Joe Hisaishi Film Music Concert,return overlib('Joe Hisaishi Film Music Concert<BR>The best collection<BR><BR>Nausica of the valley of the wind<BR>Kiki\'s delivery service<BR>Spirited away<BR>Ponyo on the cliff<BR>My neighbour Totoro<BR>Kikujiro<BR>Laputa: Castle in the sky<BR>The wind rises<BR>Princess Monokoke<BR>Goodbye departures<BR>Kids retu')
23 Jul 2022, France,,Limoges,Festival 1001 Notes: La grande Musique de film,"return overlib('80 musicians await you with this ensemble, the oldest of the Republican Guard Orchestra, capable of performing works from a very wide repertoire. That evening, the Orchester d\'Harmonie invites you to listen to the masterpieces of film music with a new ear!<BR><BR>Programme :<BR>Part 1: Classical mu')"
23 Jul 2022, United Kingdom,,London,Gustavo Santaolalla,"return overlib('Oscar-winning musician, film composer and producer Gustavo Santaolalla performs music from across his career.<BR><BR>Combining South American Andean folk influences with rock guitar roots, Santaolalla creates sparse yet emotive compositions. Known for his work composing film scores, including Brokeb')"
23 Jul 2022, United Kingdom,,Tamworth,Music from the Movies with the RPCO,return overlib('Royal Philharmonic Concert Orchestra<BR>Russell Watson<BR>Harmony group The Overtones<BR><BR>Join the Royal Philharmonic Concert Orchestra in Tamworth Castle Grounds for a rousing celebration of music from the movies.<BR><BR>From the instantly recognisable themes of Raiders of the Lost Ark and Harry')
23 Jul 2022, United Kingdom,,London,BBC Proms: CBeebies Prom – A Journey into the Ocean (SOLD OUT),"return overlib('CONCERT IS SOLD OUT<BR><BR>Southbank Sinfonia<BR>Kwamé Ryan, conductor<BR>Nigel Clarke (from ‘The Baby Club’)<BR>Rory Crawford (from ‘Teeny Tiny Creatures’)<BR>Andy Day (from ‘Andy’s Adventures’)<BR>Chantelle Lindsay (from ‘Teeny Tiny Creatures’)<BR>Maddie Moate (fr')"
23 Jul 2022, USA,Virginia,Vienna,Harry Potter and the Half Blood Prince - In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half Blood Prince<BR><BR>Relive the magic of year six in Harry Potter and the Half-Blood Prince™ in Concert. With this film, based on the sixth installment of J.K. Rowling’s classic saga, fans of all ages can now experience the thrilling tale of Har')"
23 Jul 2022, USA,California,San Francisco,Pixar In Concert,"return overlib('Calling all Pixar fans! A studio known for some of the most unforgettable films beloved by kids and grownups alike, experience a full concert of Pixar scores performed by the SF Symphony, including music from Finding Nemo, Ratatouille, The Incredibles, Brave, and many more!')"
23 Jul 2022, USA,Pennsylvania,Philadelphia,Harry Potter and the Sorcerer's Stone in concert,"return overlib('John Williams - Harry Potter and the Sorcerer\'s Stone<BR><BR>\""You\'re a wizard, Harry!\"" We\'re going back to the movie that started it all! The Harry Potter™ Film Concert Series returns to the Mann this summer with Harry Potter and the Sorcerer\'s Stone™ In Concert, the firs')"
23 Jul 2022, China,,Tianjin,Spirited Away - Hayao Miyazaki Classic Anime Symphony Concert,"return overlib('Joe Hisaishi:<BR>01. \""Ponyo on the Cliff\""<BR>02. \""The Valley of the Wind\""<BR>03. \""City in the Sky\""<BR>04. \""Spirited Away\"" Chihiro\'s Waltz, Back to that summer, Bame of life<BR>05. Howl\'s Moving Castle: The promise of the world, Carousel of life<BR>06')"
23 Jul 2022, USA,Texas,Houston,Distant World: Music from Final Fantasy,"return overlib('AWR Music Productions, LLC is proud to present the official symphony concert world-tour Distant Worlds: music from FINAL FANTASY. Launched in conjunction with the twentieth anniversary of FINAL FANTASY, this concert tour features the music of Japanese video game composer Nobuo Uematsu. This multimed')"
23 Jul 2022, France,,Anères,"Festival du Cinéma muet dÁnères: Berlin, symphonie d'une grande ville (Berlin: Die Sinfonie der Großstadt)","return overlib('Music composed and performed by We Stood Like Kings .<BR><BR>Piano : Judith Hoorens<BR>Electric guitar : Diego Di Vito<BR>Electric bass : Colin Delloye<BR>Battery : Lucas Van der Putten<BR><BR>Open-air cinema-concert<BR><BR>Berlin, symphony of a great city<BR>(Berlin: The Symphony of the Big City)<B')"
23 Jul 2022, USA,New York,Rochester,National Geographic: Symphony For Our World,"return overlib('Austin Fray, Andrew Christi - Symphony for Our World<BR><BR>This unprecedented event pairs National Geographic’s stunning natural<BR>history footage with an original symphony composed by Bleeding Fingers<BR>Music, performed live by a full orchestra and choir.<BR><BR>Driven by a five-part compo')"
23 Jul 2022, USA,North Carolina,Brevard,Star Wars: A New Hope in concert,"return overlib('John Williams - Star Wars: A New Hope<BR><BR>Luke Skywalker begins a journey that will change the galaxy, as he leaves his home planet, battles the evil Empire and learns the ways of the Force. Don\'t miss Star Wars: A New Hope in concert, with conductor Damon Gupton and the Brevard Sinfonia perform')"
23 Jul 2022, USA,Colorado,Ignacio,Music in the Mountains: Pops Night - The Magical Music of Harry Potter,return overlib('Delicious food and incredible music compete for center stage at this elaborate evening designed to delight the senses. Enjoy a fun cocktail hour prior to the chef prepared multi-course meal served family style. Who said Harry Potter was for kids?? Not us!<BR><BR>All aboard the Hogwarts Express for a')
23 Jul 2022, Japan,,Tokyo,Joe Hisaishi & World Dream Orchestra 2022,"return overlib('New Japan Philharmonic World Dream Orchestra<BR>Joe Hisashi, conductor<BR>Kazuma Miura, Bandoneon<BR>Yasushi Toyoshima, Solo Concertmaster<BR><BR>Joe Hisaishi: Symphonic Suite \""Porco Rosso\""<BR>Joe Hisaishi: From \""My Lost City\""<BR>Joe Hisaishi: Mizu no Tabibito and others<BR>')"
23 Jul 2022, USA,Indiana,Fishers,John Williams Blockbusters,"return overlib('Get ready for a night of Hollywood’s greatest soundtracks with the Indianapolis Symphony Orchestra under the direction of Conductor Enrico Lopez-Yañez, featuring the music of John Williams and more. ')"
23 Jul 2022, USA,New York,Chautauqua,Star Wars: The Empire Strikes Back in Concert,return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>“You must feel the Force around you…” The battle for the galaxy intensifies in this thrilling fifth episode of the unfolding saga. The Chautauqua Symphony Orchestra presents John Williams’s iconic Oscar®-nominated')
24 Jul 2022, USA,Tennessee,Kingsport,80 Years of Movie Music,"return overlib('Bring a picnic and enjoy fabulous film scores from eight decades of movie magic! We will regale the audience with favorites like “Star Wars”, “Beauty and the Beast”, “West Side Story”, “The Sound of Music”, and many more. With patriotic selections we w')"
24 Jul 2022, Netherlands,,Amsterdam,VriendenLoterij ZomerConcerten: A Tribute to John Williams: film music live and pure,"return overlib('Staatsorchester Rheinische Philharmonie<BR>Garry Walker, conductor<BR>Harry Piekema, presentation<BR><BR>The Staatsorchester Rheinische Philharmonie in a compelling and moving ode to film composer John Williams. Presenter Harry Piekema guides you Far and away along Neverland and Jurassic Park .<BR><')"
24 Jul 2022, Australia,,Brisbane,Fantasy and Folklore - A magical musical experience,"return overlib('If you want to make a film or compose a piece of music to attract the masses, fantasy and folklore are a great source of inspiration.<BR><BR>In this relaxed Sunday morning concert, conductor Umberto Clerici will wave his wand … sorry, baton … and whisk us away on an exotic musical jour')"
24 Jul 2022, USA,Ohio,Cuyahoga Falls,Blossom Music Festival: The Lord of the Rings: The Fellowship of the Ring In Concert,"return overlib('Howard Shore - The Lord of the Rings: The Fellowship of the Ring<BR><BR>Relive the first installment of Peter Jackson’s fantasy adventure trilogy, The Lord of the Rings: The Fellowship of the Ring, in concert with the music performed live by The Cleveland Orchestra.<BR><BR>The music of The Lor')"
24 Jul 2022, Germany,,Plauen,Der Herr der Ringe & Der Hobbit - Das Konzert,"return overlib('Howard Shore - Lord of the Rings & The Hobbit<BR><BR>The film adaptation of J.R.R. Tolkien\'s masterpiece THE LORD OF THE RINGS literally lives off the monumental music of Oscar winner Howard Shore. To experience the well-known film music with symphonic orchestra, choir and the Tolkien ensemble ')"
24 Jul 2022, South Korea,,Seoul,Joe Hisaishi Film Music Concert,return overlib('Joe Hisaishi Film Music Concert<BR>The best collection<BR><BR>Nausica of the valley of the wind<BR>Kiki\'s delivery service<BR>Spirited away<BR>Ponyo on the cliff<BR>My neighbour Totoro<BR>Kikujiro<BR>Laputa: Castle in the sky<BR>The wind rises<BR>Princess Monokoke<BR>Goodbye departures<BR>Kids retu')
24 Jul 2022, USA,California,San Francisco,Pixar In Concert,"return overlib('Calling all Pixar fans! A studio known for some of the most unforgettable films beloved by kids and grownups alike, experience a full concert of Pixar scores performed by the SF Symphony, including music from Finding Nemo, Ratatouille, The Incredibles, Brave, and many more!')"
24 Jul 2022, USA,California,Los Angeles,A.R. Rahman,"return overlib('One of the world’s most prolific film composers, A.R. Rahman is known for bringing Indian classical music together with orchestral arrangements as well as electronic music and sounds from across the globe. Over his 30-year career, that approach has made him a six-time winner of the Indian Nati')"
24 Jul 2022, France,,Anères,Festival du Cinéma muet dÁnères: Le Dernier Round (Battling Butler),"return overlib('Piano : Roch Havet<BR>Trumpets : Xavier Bornens and Guillaume Dutrieux<BR>Electric bass : Guillaume Farley<BR>Battery : Aidje Tafial <BR><BR>The Last Round<BR>(Battling Butler)<BR>the Buster Keaton<BR>with Buster Keaton, Sally O\'Neil, Walter James<BR>1926 / United States / 1h17 / DCP / vostf<BR><BR')"
25 Jul 2022, Italy,,Roma (Rome),David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
25 Jul 2022, Taiwan,,Kaohsiung,Rhapsody of Recorder,"return overlib('We had not only performed many kinds of music like Renaissance music, Baroque music, Jazz and contemporary music but also composed music based on the element of folks.<BR><BR>Program <BR>J.J.QUANTZ: Trio Sonata in c minor,QV 2:Anh.5                                        <BR>Soren SIEG: African Suit')"
25 Jul 2022, Taiwan,,Kaohsiung,Summer Serenade,"return overlib('Inspired by the wind of WeiWuYing, Jieshou String Orchestra ＆ Shipai String Orchestra will show the beauties of serenade——elegance and windlike style.The masterpieces of \""Serenade\"" written by Elgar, Dvořák, etc., will be offered.<BR><BR>Program<BR>Edward Elgar: Sere')"
25 Jul 2022, Japan,,Hiroshima,Joe Hisaishi & World Dream Orchestra 2022,"return overlib('New Japan Philharmonic World Dream Orchestra<BR>Joe Hisashi, conductor<BR>Kazuma Miura, Bandoneon<BR>Yasushi Toyoshima, Solo Concertmaster<BR><BR>Joe Hisaishi: Symphonic Suite \""Porco Rosso\""<BR>Joe Hisaishi: From \""My Lost City\""<BR>Joe Hisaishi: Mizu no Tabibito and others<BR>')"
26 Jul 2022, Italy,,Seravezza (LU),The Brasses in Cinema,return overlib('Film music by<BR>Danny Elfman<BR>Ennio Morricone<BR>John Williams<BR>Nicola Piovani<BR>Hans Zimmer<BR>arrangements by Donato De Sena ')
26 Jul 2022, Japan,,Aichi,Joe Hisaishi & World Dream Orchestra 2022,"return overlib('New Japan Philharmonic World Dream Orchestra<BR>Joe Hisashi, conductor<BR>Kazuma Miura, Bandoneon<BR>Yasushi Toyoshima, Solo Concertmaster<BR><BR>Joe Hisaishi: Symphonic Suite \""Porco Rosso\""<BR>Joe Hisaishi: From \""My Lost City\""<BR>Joe Hisaishi: Mizu no Tabibito and others<BR>')"
28 Jul 2022, Poland,,WrocŁaw (Wroclaw),Nosferatu - a symphony of horror. Organ cinema at the NFM,"return overlib('The silent film Nosferatu - a symphony of horror directed by Friedrich Wilhelm Murnau went down in history as the first significant work in the genre of horror. Frames showing a terrifying vampire wandering in the raw spaces of his castle arouse anxiety to this day, not only among the audience of th')"
28 Jul 2022, USA,Oregon,Coos Bay,Pops Day Thursday July 28 Student Workshop followed by Orchestra Pops Concert,"return overlib('Oregon Coast Music Festival Orchestra<BR>Adam Stern, conductor<BR>OCMA composer/musician Nicole Buetti, Bassoon and Contrabassoon<BR><BR>Music from Horror and Science Fiction Films<BR><BR>Bernard Herrmann - Suite from Vertigo<BR>Also featuring music by Alexander Courage, Ron Goodwin, Hans Salter, Ni')"
28 Jul 2022, Taiwan,,Kaohsiung,Symphonic Concert: Music from the Films of Hayao Miyazaki,"return overlib('Producer｜LIU Ke-chieh <BR>Director｜HSIEH Wei-min <BR>Conductor｜HSIEH Wei-min <BR>Host｜YANG Shiau-li <BR>Graphic Designer｜LU Chun-ting <BR>Performer｜Con Bello Symphonic Band <BR><BR>Hayao Miyazaki\'s animations have always been with everyone\'s growth. Behind the wonderful animations,ther')"
28 Jul 2022, Japan,,Shizuoka,Joe Hisaishi & World Dream Orchestra 2022,"return overlib('New Japan Philharmonic World Dream Orchestra<BR>Joe Hisashi, conductor<BR>Kazuma Miura, Bandoneon<BR>Yasushi Toyoshima, Solo Concertmaster<BR><BR>Joe Hisaishi: Symphonic Suite \""Porco Rosso\""<BR>Joe Hisaishi: From \""My Lost City\""<BR>Joe Hisaishi: Mizu no Tabibito and others<BR>')"
29 Jul 2022, China,,Guangzhou,Spirited Away - Hayao Hisaishi Miyazaki Classic Anime Audio-Visual Concert,"return overlib('1. Opening<BR>\""Jasmine\""<BR>2. Sky City Suite<BR>1. \""Gong Doan\'s Remembrance\""<BR>2. Take you to fly<BR>3. Spirited Away Suite<BR>1. \""Spirited Away Waltz\""<BR>2. \"". miss that summer\""<BR>3. \""Won\'t Leave\"" (female solo)<BR>4. Princess Mononoke ')"
29 Jul 2022, USA,California,San Diego,Harry Potter and the Deathly Hallows™ Part 1 In Concert,return overlib('Alexandre Desplat - Harry Potter and the Deathly Hallows<BR><BR>It’s time to go hunting for Horcruxes once more: part one of Harry Potter and the Deathly Hallows™ in Concert is nearly here! A live symphony orchestra performs Alexandre Desplat’s epic score as the franchise’s s')
29 Jul 2022, USA,Virginia,Vienna,Star Wars: The Empire Strikes Back -  In Concert,return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>“You must feel the Force around you...” The battle for the galaxy intensifies in this thrilling fifth episode of the unfolding saga. The National Symphony Orchestra presents John Williams’s iconic Oscar®-nominated score ')
29 Jul 2022, Taiwan,,Kaohsiung,Symphonic Concert: Music from the Films of Hayao Miyazaki,"return overlib('Producer｜LIU Ke-chieh <BR>Director｜HSIEH Wei-min <BR>Conductor｜HSIEH Wei-min <BR>Host｜YANG Shiau-li <BR>Graphic Designer｜LU Chun-ting <BR>Performer｜Con Bello Symphonic Band <BR><BR>Hayao Miyazaki\'s animations have always been with everyone\'s growth. Behind the wonderful animations,ther')"
29 Jul 2022, USA,North Carolina,Brevard,Dvořák Symphony no. 8,"return overlib('Follow conductor Keith Lockhart on an epic tour of the orchestra\'s instruments with Britten\'s Young Person\'s Guide to the Orchestra before journeying to Dvorak\'s lyrical and inspirational Bohemian work, Symphony No. 8, composed in appreciation of his election to the Bohemian Academy of Science. ')"
29 Jul 2022, Japan,,Osaka,Joe Hisaishi & World Dream Orchestra 2022,"return overlib('New Japan Philharmonic World Dream Orchestra<BR>Joe Hisashi, conductor<BR>Kazuma Miura, Bandoneon<BR>Yasushi Toyoshima, Solo Concertmaster<BR><BR>Joe Hisaishi: Symphonic Suite \""Porco Rosso\""<BR>Joe Hisaishi: From \""My Lost City\""<BR>Joe Hisaishi: Mizu no Tabibito and others<BR>')"
30 Jul 2022, USA,California,San Diego,Harry Potter and the Deathly Hallows™ Part 1 In Concert,return overlib('Alexandre Desplat - Harry Potter and the Deathly Hallows<BR><BR>It’s time to go hunting for Horcruxes once more: part one of Harry Potter and the Deathly Hallows™ in Concert is nearly here! A live symphony orchestra performs Alexandre Desplat’s epic score as the franchise’s s')
30 Jul 2022, China,,Beijing,Victory,"return overlib('Famous conductor Chai Liang holds the baton  for a shocking interpretation of the symphony preparation<BR><BR>Start the journey of super burning blood and enjoy the legendary epic movement.<BR><BR>\""Music makes one feel like you are in a tiny boat on rough waves.\""<BR>The symphony is like ')"
30 Jul 2022, Germany,,Nürnberg,The Caribbean Escape: Cinema for the ears,"return overlib('Nürnberger Symphoniker<BR>Evan-Alexis Christ, conductor<BR>Tetyana Gapeyeva, violin<BR>Cornelia Hessenauer, moderation<BR><BR>Sail the unpredictable Caribbean Sea under the bright sun, embark on exciting treasure hunts for archaeological treasures and catch a few criminals on a crook hunt or tw')"
30 Jul 2022, Australia,,Petersham,Electrifying Strings,"return overlib('Elgar’s Introduction and Allegro is recognised as a pure masterpiece and reflection of the brilliance of the composers phenomenal canon. Composed to show off the players’ virtuosity, this electric work sets a frenetic pace for the The Metropolitan Orchestra’s Electrifying Strings p')"
30 Jul 2022, USA,Maryland,Calvert County,Summer with the Symphony: Music For Maryland: Calvert County,"return overlib('Baltimore Symphony Orchestra<BR>Jonathan Rush, conductor<BR>Aaron LaVere, trombone<BR><BR>The Patuxent River makes the perfect backdrop as the BSO stops at the PNC Waterside Pavilion at the Calvert Marine Museum in Calvert County, home of the beloved Maryland blue crabs. Jonathan Leshnoff’s Da')"
30 Jul 2022, France,,Orange,Les Lumières de la ville (City Lights) in concert,"return overlib('Charles Chaplin - City Lights 1931<BR>Titre original : City lights © Roy Export S.A.S<BR><BR>City Lights was the longest and hardest undertaking in all of Chaplin\'s work. At the time of the silent film, he was already very interested in the music played by the orchestra during the first exclus')"
30 Jul 2022, USA,New York,Saratoga Springs,Harry Potter and the Prisoner of Azkaban™ in Concert,"return overlib('The Philadelphia Orchestra<BR>Justin Freer, conductor<BR>Albany Pro Musica, chorus<BR><BR>John Williams - Harry Potter and the Prisoner of Azkaban™ (complete with film)<BR><BR>The third installment of the popular series, Harry Potter and the Prisoner of Azkaban™, will be screened alongsi')"
30 Jul 2022, USA,Virginia,Vienna,Toy Story - In Concert,"return overlib('Randy Newman - Toy Story<BR><BR>The NSO brings Toy Story in Concert to Wolf Trap, featuring the Oscar® and Grammy®-winning score by Randy Newman. Ever wonder what toys do when people aren’t around? Toy Story answers that question with a fun-filled journey through the eyes of two rival ')"
31 Jul 2022, China,,Beijing,City in the Sky,"return overlib('The national first-class conductor baton  interprets the classic immortal work<BR>Feel the audio-visual symphony feast  and join the wonderful animation journey<BR><BR>\""A virtual world created by an animation comforts souls who have lost courage and are struggling with cruel reality.\""<BR')"
31 Jul 2022, USA,California,Rolling Hills Estates,Masters of Movie Music,return overlib('Alan Silvestri - The Avengers<BR>Maurice Jarre - Lawrence of Arabia<BR>John Williams - Jurassic Park<BR>Richard O\'Brien - Rocky Horror Picture Show<BR>Maurice Jarre - Witness<BR>Rupert Gregson-Williams - Wonder Woman<BR>John Williams - Star Wars & The Empire Strikes Back<BR>Alfred Newman - The ')
31 Jul 2022, Germany,,Nürnberg,The Caribbean Escape: Cinema for the ears,"return overlib('Nürnberger Symphoniker<BR>Evan-Alexis Christ, conductor<BR>Tetyana Gapeyeva, violin<BR>Cornelia Hessenauer, moderation<BR><BR>Sail the unpredictable Caribbean Sea under the bright sun, embark on exciting treasure hunts for archaeological treasures and catch a few criminals on a crook hunt or tw')"
31 Jul 2022, Japan,,Kansai,Summer Pop Concert,return overlib('program<BR>[Part 1] That exciting melody again-with Paul Mauriat<BR>● La Cumparsita<BR>● Hikishio<BR>● Penelope of the Aegean Sea<BR>● Olive necklace<BR>● Love is light blue<BR>● Sunflower<BR>● My Way<BR><BR>[Part 2] Fujioka & Kansai Phil\'s Golden Tag! Orchestra live sound!<BR>●')
31 Jul 2022, Japan,,Osaka,Summer pop concert,return overlib('Part.1 That exciting melody again-with Paul Mauriat<BR>La Cumparsita<BR>Hikishio<BR>Penelope of the Aegean Sea<BR>Olive necklace<BR>Love is light blue<BR>sunflower<BR>my way<BR><BR>Part.2 Fujioka & Kansai Phil\'s Golden Tag! Orchestra live sound!<BR>Mission Impossible<BR>007 Medley<BR>Lupine III')
01 Aug 2022, Italy,,Benevento,Piovani - Beyond the Cinema,"return overlib('Philharmonic Orchestra of Benevento<BR>Nicola Piovani, conductor<BR>Alessandro Carbonare, clarinet<BR><BR>The closing concert of the BCT Music Festival could not have had a better protagonist. Maestro Nicola Piovani will return to the stage of the Roman Theater of Benevento. The news? Not only sound')"
01 Aug 2022, Germany,,München (Munich),The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
01 Aug 2022, United Kingdom,,London,BBC Proms: Gaming Prom: From 8-Bit to Infinity,"return overlib('Hildur Guðnadóttir/Sam Slater, arr. Robert - Ames Battlefield 2042 – suite<BR>Jessica Curry - Dear Esther – I Have Begun My Ascent<BR><BR>And excerpts from:<BR>Yoko Shimomura - Kingdom Hearts<BR>Kow Otani - Shadow of the Colossus<BR><BR>Like the film industry before it, gaming')"
02 Aug 2022, Germany,,Waren / Müritz,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
02 Aug 2022, Italy,,Firenze (Florence),Tribute to Walt Disney,return overlib('Fiorentine Chamber Orchestra<BR>Director: Giuseppe Lanzetta<BR><BR>The best known Walt Disney cartoon melodies<BR><BR>no further details available')
02 Aug 2022, United Kingdom,,Birmingham,Happy Birthday John Williams!,"return overlib('Celebrate the magic and the music of John Williams this August and join the CBSO as they wish a very happy 90th birthday to one of the most popular composers of all time. The genius of John Williams has touched countless lives through his music for films such as Star Wars, Harry Potter, Jaws, ET, Sc')"
03 Aug 2022, Germany,,Schleswig,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
03 Aug 2022, Italy,,Jesi,Music is dangerous,"return overlib('Nicola Piovani, piano<BR>Marina Cesari, sax / clarinet  <BR>Pasquale Filastò, cello / guitar / mandoloncello  <BR>Ivan Gambini, drums / percussion  <BR>Marco Loddo, double bass  <BR>Sergio Colicchio, keyboards / accordion   <BR><BR>Music is dangerous - Concertato is a musical tale, narrated b')"
03 Aug 2022, Italy,,Firenze (Florence),Tribute to Walt Disney,return overlib('Fiorentine Chamber Orchestra<BR>Director: Giuseppe Lanzetta<BR><BR>The best known Walt Disney cartoon melodies<BR><BR>no further details available')
04 Aug 2022, Germany,,Emkendorf,The Magical Music of Harry Potter,"return overlib('CONCERT HAS BEEN CANCELED<BR><BR>HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
04 Aug 2022, Italy,,Firenze (Florence),Tribute to Walt Disney,return overlib('Fiorentine Chamber Orchestra<BR>Director: Giuseppe Lanzetta<BR><BR>The best known Walt Disney cartoon melodies<BR><BR>no further details available')
04 Aug 2022, Italy,,Firenze (Florence),The Most Famous Tanghi And Milongas,return overlib('Fiorentine Chamber Orchestra<BR>Director: Giuseppe Lanzetta<BR>Accordion and Bandoneon: Mario Stefano Petrodarchi<BR><BR>Ennio Morricone - Medley<BR>Nino Rota - Federico Fellini<BR>Astor Piazzolla - Oblivion<BR>Astor Piazzolla - Goodbye Nonino<BR>Astor Piazzolla - Milonga del Angel<BR>Astor Piazzoll')
05 Aug 2022, Germany,,Aschaffenburg,Pop und Klassik-Gala für die Station Regenbogen,"return overlib('For more than 10 years, well-known and successful artists from Lower Franconia have come together to perform a charity concert series in favour of the \""Station Regenbogen\"" at the University Hospital Würzburg.<BR><BR>\""Let\'s bring a Smile\"" is not only the specially compos')"
05 Aug 2022, United Kingdom,,London,Joe Hisaishi Symphonic Concert: Music from the Studio Ghibli Films of Hayao Miyazaki,"return overlib('Acclaimed multiple award-winning composer, conductor and pianist Joe Hisaishi will be celebrating 35 years of Japanese animation film Studio Ghibli, Inc at London The SSE Arena, Wembley this September. <BR><BR>Studio Ghibli, Inc based in Tokyo, Japan is best known for its anime feature films includi')"
05 Aug 2022, Germany,,Schwarzenberg,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
