Population,PIB par capita ($ US),IMC (Indice Masse Corporelle),%-immunisation Hépatite B,Polio immunisation (%),Diphthérie et tétanos (%-immunisation),Rougeole (cas par 1000 habitants),VIH/Sida (cas par 1000 habitants),"Prévalence malnutrition (1-19 ans, %)","Prévalence malnutrition (5-9 ans, %)",Facteur de revenu,Nombre d'années d'études,Espérance de vie (années)
175287587,3739.11936,43.7,94,99,98,36,0.1,3.4,3.4,0.677,14.1,75
,4159.8652,4.2,99,99,99,1,0.1,5.7,5.2,0.863,15,77.6
,44597.27968,39.2,98,99,99,0,0.1,5.8,5.2,0.86,14.9,77.1
,47651.2599,38.2,99,99,99,1,0.1,5.8,5.3,0.852,14.4,78.3
,4717.273,37.2,93,99,97,4,0.1,5.9,5.4,0.846,14.1,77.4
,35268.1117,36.2,96,99,95,0,0.1,5.9,5.4,0.845,14.2,76.9
,27965.4754,35.2,96,99,99,2,0.1,6,5.5,0.841,14.1,76.8
,37951.286,34.2,96,97,98,3,0.1,6.1,5.6,0.84,14.2,77.2
,32672.36717,33.2,97,95,99,0,0.1,6.2,5.7,0.84,14.3,76
,398.96692,32.2,99,94,97,0,0.1,6.3,5.8,0.837,14.3,76.3
,2612.13345,31.2,99,93,94,9,0.1,6.4,5.9,0.834,14.1,76.2
,21896.6527,3.1,99,92,92,16,0.1,6.5,6,0.828,13.7,76.4
,16846.2198,28,99,99,94,0,0.1,6.7,6.1,0.82,13.3,74.8
,16468.12886,27,99,99,97,11,0.1,6.8,6.2,0.819,13.4,74.7
,188.44826,26.1,99,99,99,42,0.1,6.8,6.3,0.818,13.4,74.4
7177991,6993.47736,65.7,92,91,91,0,0.1,1.9,1.8,0.792,15,74.5
735888,7378.25539,63.9,95,95,95,1,0.1,1.9,1.9,0.778,14.3,73.9
7348328,7813.83499,63.3,96,95,95,157,0.1,2,2,0.775,14.2,73.7
7395599,6843.263289,62.7,95,94,94,22004,0.1,2,2,0.77,13.9,73.4
7444443,6955.987733,62.1,96,94,94,2249,0.1,2,2.1,0.768,13.8,73.2
7492561,7296.122479,61.5,96,96,95,1,0.1,2.1,2.1,0.761,13.8,72.9
7545338,5932.899677,6.9,95,95,95,1,0.1,2.1,2.2,0.755,13.5,72.6
76122,4513.13628,6.3,96,96,95,1,0.1,2.2,2.2,0.75,13.5,72.2
771686,3381.57837,59.1,94,94,95,0,0.1,2.3,2.3,0.738,13.3,72.2
7775327,271.46824,58.6,96,96,96,0,0.1,2.3,2.4,0.729,12.9,72
7837161,287.534843,58.1,88,94,93,0,0.1,2.4,2.4,0.723,12.9,71.8
89142,1764.97387,57.5,93,94,94,8,0.1,2.4,2.5,0.713,12.9,71.6
817172,169.28586,57,94,94,93,46,0.1,2.5,2.5,0.709,12.9,71.1
1811624,615.592225,19.4,91,91,91,99,0.6,8,7.5,0.399,7.7,59.9
17585977,75.1464113,18.8,91,91,91,343,0.6,8.2,7.7,0.398,7.7,59.3
1772723,699.452847,18.2,88,89,88,375,0.7,8.4,7.9,0.392,7.5,59
16571216,673.8227,17.7,9,9,9,7362,0.8,8.6,8.1,0.384,7.2,58.6
168194,666.842783,17.1,91,9,91,860,0.9,8.8,8.4,0.377,6.7,58.1
1565217,575.4464527,16.6,91,9,91,2511,1,9,8.6,0.365,6.3,57.5
1514199,552.7455521,16.1,92,91,92,54118,1.1,9.3,8.8,0.356,5.9,56.9
14689726,569.7612784,15.6,93,92,93,395,1.5,9.5,9.1,0.345,5.4,56.1
1425221,475.11122,15.1,89,93,89,12,1.7,9.8,9.3,0.334,4.9,55.3
13829177,422.6332374,14.6,76,94,86,125,2,1,9.6,0.325,4.7,54.3
1342193,46.998871,14.2,,94,82,253,2.3,1.3,9.8,0,4.3,53.3
133569,371.323865,13.7,,83,79,77,2.5,1.5,1.1,0,3.9,52.4
12654621,332.344351,13.3,,83,79,2946,2.9,1.7,1.3,0,3.8,51.6
122931,26.7635413,12.9,,69,69,1744,3.2,11,1.6,0,3.6,51
11944587,235.4912324,12.5,,62,62,4174,3.6,11.2,1.8,0,3.5,56
1167942,226.4759814,12.2,,45,45,6074,4,11.4,11.1,0,3.4,51
119927,33.681223,18.7,94,94,94,9,0.7,7.3,7.2,0.406,10.6,59.6
989179,312.7489794,18.2,95,95,95,0,0.7,7.4,7.3,0.404,10.6,59.1
96186,282.7555252,17.6,96,96,96,0,1,7.4,7.4,0.398,10.5,58.6
931971,265.285651,17.1,96,96,96,49,1.2,7.5,7.5,0.393,10.3,58
94358,26.479973,16.6,96,95,96,129,1.5,7.6,7.6,0.385,9.9,57.4
876693,231.1943256,16.1,96,94,96,495,1.9,7.7,7.7,0.361,9.3,56.8
848931,24.944652,15.7,94,96,94,305,2.4,7.8,7.8,0.336,8.6,56.2
8212264,196.2472628,15.2,92,89,92,173,2.9,7.9,7.9,0.319,7.9,55.3
7939573,17.79995,14.8,99,93,99,43,3.4,8,8,0.309,7.2,54.8
7675338,165.8794176,14.5,92,88,92,784,3.8,8.1,8.2,0.29,5.9,54.1
7423289,15.57434,14.1,87,82,87,0,4.3,8.2,8.3,0.286,5.6,53.4
7182451,127.4296648,13.8,83,76,83,2,4.8,8.4,8.4,0.279,5.2,52.6
6953113,112.849373,13.5,,75,82,224,5.1,8.5,8.5,0.276,4.7,51.9
6741569,122.4335893,13.3,,74,81,1016,5.2,8.7,8.7,0.268,4.4,51.5
6476,135.9984455,12.8,,71,8,18363,5.2,9,8.9,0.268,4.5,58
,,28,83,81,83,65,1.9,5.5,5.5,,,53.3
,,26.8,8,79,8,48,2.4,5.8,5.7,,,52.3
,,26.2,82,83,82,137,2.9,5.9,5.9,,,52
,,25.6,62,58,62,628,3.3,6.1,6,,,51.7
,,25,85,81,85,441,3.3,6.3,6.2,,,51.5
,,24.4,81,77,81,183,3.7,6.5,6.4,,,51
,,23.8,74,58,74,12,4.1,6.6,6.6,,,54
,,23.2,76,75,76,5,5.3,6.8,6.7,,,49.9
,,22.6,77,76,77,11,5.8,7,6.9,,,49.4
,,21.5,67,76,67,3466,6.5,7.3,7.3,,,48.2
,,2.9,63,68,61,4770,6.7,7.5,7.5,,,48
,,19.9,1,7,66,5790,7,7.9,7.9,,,47.8
,,19.4,,66,65,5729,7.1,8.1,8.1,,,47.9
526437,3529.61843,3.5,97,95,95,0,0.2,6.8,6.7,0.643,13.5,73
5216,3558.796314,29.7,94,93,93,0,0.2,6.9,6.9,0.643,13.6,72.8
513979,348.482762,29,94,94,94,0,0.3,7.1,7.1,0.636,13.2,72.7
5867,367.429453,28.2,9,9,9,0,0.3,7.3,7.2,0.632,13.1,72.6
52384,3312.825985,27.5,98,99,99,0,0.4,7.4,7.4,0.627,12.7,72.5
496963,3444.5566,26.8,98,99,99,0,0.4,7.6,7.6,0.621,12.4,72.4
491723,3638.95946,26.2,98,99,99,0,0.4,7.8,7.8,0.615,12.2,72.4
48795,234.28992,24.9,95,97,96,0,0.6,8.3,8.3,0.596,11.9,72.1
474567,248.13459,24.3,93,95,95,0,0.8,8.5,8.5,0.582,11.2,71.8
467664,1976.45856,23.7,91,94,93,0,0.8,8.7,8.7,0.574,11.1,71.4
46147,1768.92132,23.2,66,93,92,0,0.9,8.9,8.9,0.572,11.3,71.1
45216,1373.515636,22.6,4,92,91,0,0.8,9.2,9.1,0.569,11.3,77
443716,1268.884564,22.1,,91,9,0,0.8,9.4,9.3,0.562,11,73
43579,1239.377855,21.5,,9,9,2,0.8,9.6,9.5,0,11.3,69.9
152779,198.687123,18.9,88,87,88,0,0.2,1.9,11,0.553,10.9,68.3
1522692,128.419568,18.2,83,66,83,0,0.2,11,11.1,0.546,10.8,67.8
143874,785.6928841,16.4,89,88,89,1156,0.5,11,11.3,0.519,10.6,66.6
138859,745.7877873,15.3,91,91,91,4211,0.7,11.2,11.4,0.511,10.5,65.6
13676693,631.675789,14.8,82,82,82,394,0.9,11.3,11.5,0.495,10.3,65
13474489,539.8791529,14.3,8,8,8,188,1.1,11.4,11.6,0.483,10.1,64.1
132721,474.2238766,13.9,,82,82,264,1.4,11.5,11.6,0.47,10,62.9
1363377,48.615184,13.5,,86,85,352,1.7,11.6,11.7,0.458,9.7,61.5
12853124,362.4213785,13.1,,69,69,653,1.9,11.6,11.7,0.445,9.3,63
12634729,339.676984,12.8,,54,54,1361,2.1,11.6,11.8,0.427,8.2,59.3
12152354,3.685949,12.1,,62,59,12237,2.1,11.6,11.9,0.401,7.2,57.7
22834522,1244.429421,29,84,83,84,1809,3.5,5.6,5.5,0.514,10.4,57.3
2223994,1441.1417,28.4,87,86,87,831,3.7,5.7,5.7,0.507,10.4,56.7
21655715,1365.34419,27.8,89,88,89,760,4,5.8,5.8,0.501,10.4,56.4
2182383,1255.648189,27.2,85,85,85,609,4.6,5.9,5.9,0.496,10.4,55.9
1997495,1182.869227,26,84,83,84,240,5.5,6.1,6.2,0.48,9.7,55.3
19432541,123.19538,25.4,8,79,8,251,6.3,6.3,6.3,0.473,9.2,54.8
18978,1233.524316,24.9,84,82,84,495,6.7,6.4,6.5,0.466,8.8,54.2
18395389,111.71186,24.4,82,81,82,100,7,6.6,6.6,0.456,8,53.6
17899562,12.989164,23.8,81,78,81,196,7.2,6.7,6.8,0.456,8.2,53.3
1742795,952.1872484,23.3,79,79,8,605,7.4,6.9,7,0.456,8.3,52.8
1695981,93.211716,22.8,,72,73,358,7.5,7,7.1,0.455,8.2,52.1
16513822,824.8689393,22.3,,72,73,899,7.7,7.2,7.3,0.452,8.1,51.8
1684886,676.397661,21.8,,66,66,1448,7.8,7.4,7.5,0.452,8.4,51.6
15671927,614.6729339,21.3,,61,63,23934,7.9,7.5,7.7,0.437,7.1,51.5
15274234,68.414399,2.9,,57,62,14629,7.7,7.7,7.8,0.433,6.9,51.4
3584861,43315.744,67,55,91,91,195,0.1,0.6,0.5,0.919,16.3,82.2
35544564,544.43376,66.4,55,91,91,418,0.1,0.5,0.5,0.912,15.9,82
35155451,52413.72116,65.8,55,91,91,83,0.1,0.5,0.5,0.909,15.9,81.8
3475545,52496.69487,65.3,7,99,95,10,0.1,0.5,0.5,0.907,15.9,81.6
345274,47447.4762,64.1,56,88,89,99,0.1,0.5,0.4,0.898,15.9,81.2
33628571,4773.45436,63.6,42,89,91,14,0.1,0.5,0.4,0.898,15.9,81
32887928,44544.5268,62.5,14,9,94,101,0.1,0.5,0.4,0.894,15.8,85
325755,4386.69948,61.9,14,95,95,13,0.1,0.5,0.4,0.891,15.8,85
32312,36189.58838,61.3,14,93,93,6,0.1,0.5,0.4,0.886,15.8,81
31995,31979.87195,6.6,14,91,91,7,0.1,0.5,0.4,0.881,15.8,80
31676,28172.14883,6,14,88,91,15,0.1,0.5,0.4,0.877,15.8,79.7
31362,24167.8431,59.3,,88,88,6,0.1,0.5,0.4,0.872,15.8,79.5
31819,23691.59472,58.5,,88,89,34,0.1,0.5,0.4,0.867,15.8,79.4
37697,24124.16917,57.8,,88,89,206,0.1,0.5,0.5,0.864,15.9,79.1
45461,348.381417,22.7,47,47,47,150,4.4,8.2,8.2,0.347,7.1,52.5
449416,486.41114,21.2,47,47,47,141,5.1,8.7,8.6,0.366,7.1,53
4476153,494.336779,2.7,47,47,47,679,5.8,8.8,8.8,0.361,6.8,49.8
4448525,446.4434494,2.2,45,46,45,2,6.6,9,8.9,0.352,6.6,49.2
44423,449.961839,19.8,42,45,42,11,7.3,9.1,9.1,0.345,6.4,48.6
4345386,456.8614334,19.4,,46,45,12,8.3,9.3,9.2,0.338,6.3,47.6
412791,327.1149461,18.2,,47,54,471,11.2,9.7,9.7,0.319,5.9,45.9
45536,313.21598,17.9,,45,51,1233,12,9.9,9.9,0.315,5.7,45.7
3981665,286.25819,17.5,,44,47,652,12.8,1,1.1,0.316,5.6,45.7
397612,253.768343,17.2,,42,44,938,13.4,1.2,1.2,0.315,5.4,45.6
383223,243.1586486,16.8,,4,4,2837,13.9,1.4,1.4,0.314,5.3,45.6
3754986,243.5429317,16.5,,38,37,3207,14.3,1.5,1.5,0.312,5.2,46
149413,777.248751,19.1,46,52,46,418,2.8,8.5,8.4,0.394,7.3,53.1
13569438,125.998515,18.7,37,44,37,1275,2.9,8.7,8.5,0.39,7.3,52.6
13133589,986.13177,18.2,39,46,39,226,3.1,8.8,8.7,0.387,7.3,52.2
1275135,973.472574,17.9,4,51,4,120,3.6,9,8.9,0.381,7.3,51.8
12288651,989.2363633,17.5,33,4,33,8650,3.9,9.2,9.1,0.37,6.7,51.6
1188722,896.5697341,17.1,39,43,39,194,4.1,9.4,9.3,0.36,6.7,51.2
1152786,84.455939,16.7,24,32,24,165,4.4,9.6,9.5,0.343,6.3,57
11133861,929.772391,16.4,17,3,19,63,4.7,9.8,9.7,0.338,6,49.6
177578,81.683884,16.1,,38,28,441,4.9,1,1,0.306,5.7,49.4
1421597,712.1847694,15.7,,49,4,1594,5.1,1.3,1.2,0.303,5.5,48.5
1679,66.2421396,15.4,,37,25,2,5.2,1.5,1.4,0.306,5.6,48.6
97143,454.6765879,15.1,,31,21,10324,5.2,1.7,1.6,0.301,5.6,48.5
935321,292.5914364,14.8,,36,23,15801,5.1,1.9,1.8,0.284,5.4,48.4
866312,197.3156442,14.1,,26,26,24908,4.8,11.3,11.2,0.3,4.9,48
8342559,166.231785,13.9,,3,36,3546,4.6,11.5,11.4,0,4.7,47.6
17613798,14817.37778,63.1,95,95,95,0,0.1,0.8,0.8,0.841,16.2,83
17462982,15941.39722,62.5,9,9,91,0,0.1,0.8,0.8,0.831,15.6,81
16829442,1243.32824,59.9,94,94,94,1,0.1,0.8,0.9,0.816,15.3,79.3
16661942,1781.3668,59.3,95,95,95,0,0.1,0.9,0.9,0.804,15.2,79.6
16491687,1526.87746,58.7,92,95,96,0,0.1,0.9,0.9,0.797,14.8,78.9
16319792,9484.681227,58.1,95,94,94,0,0.1,0.9,0.9,0.796,14.9,78.9
1614764,7615.3468,57.4,,92,91,0,0.1,0.9,1,0.79,14.6,78.4
15973778,621.828325,56.8,,94,93,0,0.1,0.9,1,0.781,14.3,78
15799542,4787.699532,56.1,,96,96,1,0.1,1,1,0.775,14,77.9
15623635,4463.545867,55.4,,97,97,0,0.1,1,1,0.768,13.9,77.8
15444969,4595.666327,54.7,,96,97,0,0.1,1,1,0.761,13.7,77.3
15262754,511.368479,54,,91,91,0,0.1,1.1,1.1,0.755,13.5,77.3
137122,869.211938,32.9,99,99,99,42361,0.1,3.6,2.9,0.734,13.5,76.1
136427,7683.5238,31.9,99,99,99,52628,0.1,3.7,3,0.723,13.1,75.8
135738,777.77594,3.9,99,99,99,26883,0.1,3.8,3.2,0.713,12.7,75.6
135695,6337.882993,3,99,99,99,6183,0.1,3.9,3.3,0.703,12.4,75.4
134413,5633.79616,29,99,99,99,9943,0.1,4.1,3.5,0.7,12.8,75.2
133775,456.512487,28.1,99,99,99,38159,0.1,4.2,3.6,0.691,12.5,75
133126,3838.434292,27.3,99,99,99,52461,0.1,4.4,3.8,0.682,12.2,74.9
1324655,3471.247547,26.5,95,99,97,131441,0.1,4.5,4,0.672,11.9,74.5
1317885,2695.366223,25.7,92,94,93,109023,0.1,4.7,4.1,0.659,11.4,74.4
129675,158.668462,23.4,79,87,87,70549,0.1,5.1,4.6,0.622,10.2,73.5
12884,1288.642924,22.6,75,87,86,71879,0.1,5.3,4.7,0.61,9.9,73.1
127185,153.1824,21.2,65,86,86,88962,0.1,5.7,5,0.592,9.6,72.2
1262645,959.372181,2.5,6,86,85,71093,0.1,5.9,5.1,0.583,9.5,71.7
48228697,644.525556,57.9,91,91,91,1,0.1,2.1,1.9,0.724,13.6,74.8
47791911,7913.383432,57.2,9,9,9,0,0.1,2.1,1.9,0.72,13.6,74.6
47342981,83.5863,56.4,91,91,91,1,0.1,2.1,1.9,0.712,13.3,74.4
46881475,7884.984429,55.7,92,91,91,1,0.1,2.1,1.9,0.707,13.2,74.3
4646646,7227.73968,55,85,85,85,6,0.1,2.2,2,0.7,13,74.2
45416181,5148.422113,53.5,92,92,92,0,0.1,2.2,2,0.691,12.4,73.6
4491544,5433.7245,52.8,92,92,92,0,0.1,2.3,2,0.683,12.2,73.5
44374572,4674.21961,52,93,93,93,0,0.1,2.3,2.1,0.675,11.9,73.5
43285634,3386.256,5.5,93,93,93,0,0.1,2.4,2.1,0.658,11.1,73.1
42724163,274.249442,49.8,89,89,89,0,0.1,2.4,2.2,0.658,11.3,72.8
42152151,2246.257472,49,92,92,92,0,0.1,2.5,2.2,0.659,11.6,72.4
41572491,2355.725857,48.2,78,83,81,139,0.1,2.5,2.3,0.656,11.5,71.8
498899,2395.856551,47.5,8,83,8,3,0.1,2.5,2.3,0.653,11.4,71.5
443958,2472.197831,46.7,78,82,79,1,0.1,2.6,2.3,0.65,11.3,71.4
777424,727.6463868,24.2,91,92,91,0,0.8,6.7,6.5,0.498,11.1,63.5
7415,834.341949,23.2,88,85,87,0,0.8,6.8,6.6,0.49,10.9,62.9
76569,829.7586885,22.1,83,85,83,3,0.2,7,6.8,0.479,10.6,62.2
689692,769.1742883,21.6,74,82,74,0,0.1,7.1,6.9,0.476,10.5,61.8
673252,778.5454199,21.1,83,84,83,1,0.1,7.2,7,0.465,10.3,61.3
657229,795.97519,2.6,81,81,81,0,0.1,7.2,7.1,0.461,10.2,61
64162,72.759313,2.1,75,75,75,0,0.1,7.3,7.2,0.459,10,66
626425,648.38717,19.6,69,69,69,85,0.1,7.4,7.3,0.451,9.9,63
611627,621.93372,19.2,68,67,68,912,0.1,7.5,7.4,0.434,9.7,60
597228,616.4197236,18.8,77,73,76,0,0.1,7.5,7.5,0,9.5,59.8
569479,433.2691451,18,,98,89,0,0.1,7.7,7.7,0,8.8,59.5
555888,395.9319363,17.6,,7,7,0,0.1,7.8,7.8,0,8.5,59.5
542357,375.8528566,17.3,,7,7,0,0.1,7.9,7.9,0,8.2,59.5
,,27.4,8,8,8,1359,2.8,7.5,7.1,0.59,11.1,64.7
,,26.8,9,9,9,71,3,7.6,7.3,0.581,11.1,64.2
,,26.2,85,85,85,124,3,7.7,7.4,0.576,11.1,63.9
,,25.6,62,61,85,260,3.3,7.9,7.5,0.557,10.2,63.7
,,24.5,74,72,74,4,3.8,8.1,7.7,0.548,10.5,62
,,23.3,73,77,79,2,4.3,8.4,8,0.527,10,59.4
,,22.8,64,71,72,84,5,8.5,8.2,0.517,9.8,58.2
,,22.3,,73,73,126,5.5,8.7,8.3,0.507,9.6,56.9
,,21.7,,62,62,146,5.9,8.8,8.5,0.496,9.4,55.3
,,2.3,,41,41,2788,7.2,9.3,8.9,0.488,9.5,52.6
,,19.8,,32,31,2152,7.6,9.4,9,0.487,9.7,52.7
,,19.3,,31,33,1678,7.8,9.5,9.2,0.487,9.8,52.9
,,82.8,98,98,98,0,0.1,0.1,0.1,,,
47641,1569.66631,58.5,94,95,95,0,0.1,1.7,1.7,0.762,13.7,79.4
454528,8199.414621,55.5,89,93,88,0,0.1,1.8,1.8,0.749,13.3,78.1
442958,6911.136136,53.4,89,89,9,0,0.1,1.9,1.8,0.74,12.9,78.9
4369469,612.623418,52.4,89,89,89,0,0.1,1.9,1.9,0.734,12.8,78.9
4247841,4697.11135,5.3,9,91,91,1,0.1,2,2,0.723,12.4,78.6
418738,4425.57467,49.3,89,9,9,0,0.1,2.1,2,0.719,12.2,77.7
46324,462.14965,47.3,94,94,94,0,0.1,2.2,2.2,0.712,11.9,78.3
3996798,3981.52847,46.4,8,92,91,0,0.1,2.3,2.2,0.708,11.7,77.5
3925443,388.363689,45.4,89,8,88,0,0.1,2.4,2.3,0.702,11.6,77.6
42364,11579.6674,63.7,94,94,94,206,0.1,1.5,1.4,0.823,15.3,78
4238389,13467.46827,63.1,95,95,95,0,0.1,1.5,1.5,0.82,15.1,77.8
4255689,13574.749,62.5,96,96,96,0,0.1,1.5,1.5,0.817,14.9,77.7
4267558,13235.97757,61.9,98,96,96,2,0.1,1.5,1.5,0.815,14.6,77.1
428622,14539.18421,61.3,97,96,96,12,0.1,1.6,1.5,0.808,14.5,77
4417781,1355.74586,6.6,97,97,97,7,0.1,1.6,1.6,0.803,14.2,76.6
442978,14157.14416,6,97,96,96,2,0.1,1.7,1.6,0.803,14.2,76.3
443458,15893.8656,59.4,97,96,96,51,0.1,1.7,1.7,0.8,14.3,76
4436,13546.69872,58.7,95,96,96,0,0.1,1.8,1.7,0.793,14.3,75.8
4442,1224.2459,57.5,,96,96,2,0.1,1.8,1.8,0.777,13.6,75.2
4439,9365.742468,56.9,,96,96,54,0.1,1.9,1.9,0.771,13.3,75.4
444,785.881418,56.3,,95,94,19,0.1,1.9,1.9,0.765,12.9,74.7
444,653.71637,55.8,,95,95,6,0.1,2,2,0.759,12.6,74.8
444,5245.421419,55.2,,94,94,8,0.1,2,2,0.749,12.3,74.9
4426,4919.62869,54.7,,94,93,9,0.1,2.1,2.1,0.739,12.2,74.7
,762.261218,61.4,99,99,99,0,0.1,3.5,3.3,0.773,13.9,79.1
,75.5199,6.7,97,99,99,0,0.1,3.4,3.3,0.772,14,79
,676.15344,59.9,96,99,99,0,0.1,3.4,3.3,0.773,14.7,78.7
,6425.941119,59.2,96,98,99,0,0.1,3.4,3.2,0.778,15.7,78.7
,675.92436,58.4,96,99,97,0,0.1,3.4,3.2,0.78,16.5,78.8
,5676.14143,57.7,96,99,96,0,0.1,3.4,3.2,0.784,17.6,78
,5484.7763,56.9,96,99,96,0,0.1,3.4,3.2,0.782,17.7,78.1
,5376.447622,56.2,95,99,95,0,0.1,3.4,3.2,0.771,17.1,77.9
,5184.494227,55.4,93,99,93,0,0.1,3.4,3.2,0.754,16,78.1
,4669.6916,54.6,89,99,89,0,0.1,3.4,3.2,0.732,14.7,78
,3779.577,53.8,95,99,89,0,0.1,3.4,3.3,0.719,14.2,77.2
,339.716256,53,99,98,88,0,0.1,3.4,3.3,0.705,13.2,77.3
,3192.669378,52.1,99,98,72,0,0.1,3.5,3.3,0.694,12.9,77.4
,2994.339988,51.3,98,98,99,0,0.1,3.5,3.3,0.692,12.5,77.7
,2832.188893,5.4,98,99,98,0,0.1,3.6,3.4,0.686,12.3,76.7
,2741.11542,49.4,98,98,95,0,0.1,3.6,3.4,0.679,12.1,76.9
116985,2375.1127,6.3,97,97,97,0,0.1,1,1,0.854,14.3,85
115239,2734.88382,59.8,96,99,99,10,0.1,0.9,1,0.85,14,83
1143896,2797.96736,59.2,96,99,99,0,0.1,0.9,1,0.85,13.8,81
113562,28951.15556,58.7,96,99,99,1,0.1,0.9,1,0.85,13.8,80
1124835,32233.83942,58.3,96,99,99,0,0.1,0.9,1,0.847,13.8,79.7
111267,3818.46396,57.8,96,99,99,18,0.1,0.9,1,0.853,14.6,79.5
19876,3215.8159,57.3,96,99,99,0,0.1,0.9,1,0.849,14.1,79.3
181563,3539.7488,56.8,93,97,97,1,0.1,0.9,1,0.844,13.7,79.1
163712,31386.63265,56.3,93,97,97,0,0.1,0.9,1,0.836,13.5,78.9
14559,27169.99256,55.8,93,97,97,0,0.1,0.9,1,0.829,13.4,78.8
127658,25324.48666,55.3,88,98,98,1,0.1,0.9,1,0.826,13.5,78.7
1141,23932.49128,54.8,88,98,98,0,0.1,0.9,1,0.823,13.4,78.6
993563,2293.4789,54.3,88,98,98,0,0.1,0.9,1,0.815,13,78.5
976966,16372.29152,53.8,88,98,98,0,0.1,0.9,1,0.805,12.5,78.4
96282,1562.92433,53.3,89,97,97,0,0.1,0.9,1,0.8,12.4,78.2
,,66.1,97,97,97,9,0.1,1.8,1.8,,,78.8
,,65.6,99,99,97,222,0.1,1.8,1.9,,,78.6
,,65.1,99,99,98,15,0.1,1.8,1.9,,,78.2
,,64.5,99,99,99,22,0.1,1.8,1.9,,,78
,,64,99,99,99,17,0.1,1.9,1.9,,,77.8
,,63.6,99,99,99,0,0.1,1.9,2,,,77.5
,,63.1,99,99,99,5,0.1,1.9,2,,,77.1
,,62.6,99,99,99,2,0.1,1.9,2,,,77
,,62.2,99,99,99,2,0.1,2,2.1,,,76.8
,,61.8,98,98,98,7,0.1,2,2.1,,,76.5
,,61.3,99,96,97,0,0.1,2.1,2.1,,,75.9
,,6.4,92,97,97,30,0.1,2.2,2.2,,,75.2
,,59.9,86,97,98,4,0.1,2.2,2.3,,,75.3
,,59.4,,97,98,6,0.1,2.2,2.3,,,75.1
,,59,,98,98,9,0.1,2.3,2.3,,,74.7
,,32.9,96,99,96,0,0.1,4.9,4.9,,,76
,,32.4,93,99,93,3,0.1,4.9,4.9,,,73
,,31.8,93,99,93,0,0.1,5,5,,,71
,,31.3,96,99,96,0,0.1,5.1,5.1,,,69.8
,,3.8,94,99,94,0,0.1,5.1,5.2,,,69.4
,,29.7,93,98,93,0,0.1,5.3,5.3,,,68.7
,,29.2,92,98,92,8,0.1,5.4,5.4,,,68.6
,,28.7,92,99,92,3550,0.1,5.5,5.5,,,68.5
,,28.2,96,98,89,0,0.1,5.6,5.6,,,68.5
,,27.2,98,99,72,0,0.1,5.7,5.7,,,68.4
,,26.7,27,99,68,0,0.1,5.8,5.8,,,68.1
,,25.7,,98,62,0,0.1,5.9,6,,,66.6
,,25.2,,93,56,0,0.1,6,6,,,65.4
,,21.6,81,78,81,5020,1.1,9.5,9.3,,,59.8
,,21.1,8,79,8,33711,1.1,9.7,9.5,,,59.3
,,2.6,74,74,74,88381,1.2,9.9,9.6,,,58.8
,,2.1,75,76,75,72029,1.5,1,9.8,,,58.3
,,19.6,74,77,74,133802,1.6,1.2,1,,,57.9
,,19.1,6,76,6,5407,1.6,1.4,1.2,,,57.4
,,18.6,72,78,72,57,1.7,1.6,1.4,,,56.7
,,18.2,65,64,65,12461,1.8,1.8,1.7,,,56.3
,,17.8,7,72,7,55577,1.9,11.1,1.9,,,55.7
,,17.3,,62,62,80123,2,11.3,11.1,,,55
,,16.9,,6,6,182485,2,11.5,11.3,,,54.3
,,16.5,,52,54,44934,2.1,11.7,11.5,,,53.5
,,16.1,,47,41,21956,2.2,11.9,11.7,,,52.8
,,15.7,,4,38,30466,2.4,12.1,11.9,,,52.1
,,15.3,,3,3,8072,2.4,12.2,12.1,,,51.8
,,14.9,,42,4,8282,2.5,12.4,12.3,,,51.3
5683483,5314.64416,58.8,,93,93,9,0.1,1.1,0.9,0.923,19.2,86
5643475,62425.5392,58.4,,94,94,27,0.1,1.1,0.9,0.926,19.2,84
5614932,61191.19263,58.1,,94,94,17,0.1,1.1,0.9,0.924,18.7,81
5591572,5857.521,57.7,,94,94,2,0.1,1.1,0.9,0.922,18.4,80
557572,61753.667,57.4,,91,91,84,0.1,1.1,0.9,0.91,16.9,79.7
5547683,5841.41122,57,,9,9,5,0.1,1.1,0.9,0.906,16.8,79.2
5493621,64322.6664,56.3,,88,88,14,0.1,1.1,0.9,0.906,16.8,78.8
5437272,5226.99311,55.4,,93,93,27,0.1,1.2,0.9,0.902,16.9,78.1
5419432,48799.8237,55,,93,93,2,0.1,1.2,1,0.897,16.6,78.1
544523,46511.6457,54.4,,95,95,0,0.1,1.2,1,0.893,16.5,77.7
539574,4458.7764,53.9,,96,96,0,0.1,1.2,1,0.882,16.3,77.3
5375931,33228.69291,53.3,,98,98,32,0.1,1.2,1,0.875,16.6,77
5358783,3751.64946,52.8,,97,97,11,0.1,1.3,1,0.862,16.2,77
5339616,3743.55917,52.2,,97,97,14,0.1,1.3,1,0.86,16.5,76.9
927414,1862.167274,35,84,84,84,47,2.1,5.6,5.4,0.47,6.3,63.5
912164,174.91511,34.4,78,78,78,0,2.1,5.6,5.4,0.467,6.3,63
896688,1622.637974,33.8,82,82,82,28,2.1,5.6,5.4,0.464,6.3,62.7
865937,143.986898,32.7,87,87,87,49,2.7,5.6,5.5,0.451,5.9,61.8
851146,1325.99724,32.2,88,88,88,7,3.1,5.6,5.6,0.441,5.5,61.3
