coude_dia (cm),poignet_dia (cm),genou_dia (cm),cheville_dia (cm),épaule_tour (cm),pec_tour (cm),taille_tour (cm),abdomen_tour (cm),hanche_tour (cm),bicept_tour (cm),avantbras_tour (cm),genou_tour (cm),cheville_tour (cm),poignet_tour (cm),Âge,Poids (kg),Grandeur (cm),Genre
14.3,10.1,18.3,13.2,112.4,100.3,79.1,80.4,94.3,32.6,27.2,36.1,22.5,17.9,32,67.3,175.3,Homme
14.8,12.8,20.7,14.3,112.2,95.7,85.8,94.7,106.8,33.6,27.3,37.5,26.2,17.8,27,77.7,175.9,Homme
15.3,11,20.6,15,127,108,90.8,92.4,100.3,36.8,29.3,37.5,23.4,16.7,42,81.8,175.3,Homme
15.3,11.2,20.4,13.8,115.3,101,85.4,86.9,101.8,34,27.1,39.4,23.7,16.6,44,75.5,179.1,Homme
14.5,11.5,20,16.9,111.5,98.6,91.6,102.1,106.7,32.3,27.9,41.8,27.7,18.1,46,84.5,181.6,Homme
13.7,10.8,18.9,14.3,118.3,101.6,79.7,82,98.4,36.5,31,38,25.3,17.7,19,76.6,177.8,Homme
16.7,12,21,15.1,118,99,86.1,90.8,101.3,33.5,28.3,37.7,25.2,17.4,43,85,182.9,Homme
14.2,12.8,20.6,15.5,127,116.7,113.2,102.9,107.9,37.4,28.9,37.8,24.1,17.1,28,102.5,177.8,Homme
14.2,11.2,20.2,14.5,124.4,105,79.5,85.8,92.7,36.2,27,33.9,20.3,15.8,39,77.3,184.2,Homme
14.3,11.4,17.8,14.6,112.4,95.1,85.4,84.1,94.3,31.2,25.9,37.4,24.5,17.1,30,71.8,179.1,Homme
14.3,11.5,18,13.8,125.8,106.7,97.9,94.7,104.6,36.2,28.7,37.7,22.6,17.5,36,87.9,176.5,Homme
15.2,11.8,19.3,15.1,131.7,116.6,94.7,93.1,103.3,42.3,31.9,39.9,25.5,18.9,48,94.3,188,Homme
13.9,10.3,19.1,14,117.3,103.5,86.1,90.5,96.7,34.5,27.7,37.3,22.5,16.4,48,70.9,174,Homme
13.8,11,17.8,14.6,107.6,90.4,84.9,83.7,97.9,28,25.2,37.5,21.3,15.1,53,64.5,167.6,Homme
13.6,11.7,18.8,14.6,122.4,107.5,92.2,88.6,97.5,34.3,27.6,36,23.3,16.7,45,77.3,170.2,Homme
13.8,11.5,19,15.1,117,100.8,83.7,82.5,97.7,32.5,27.1,35.4,22.7,16.6,39,72.3,167.6,Homme
15,12.2,20.5,15.2,119,104.2,97.8,93.6,102.5,35.8,29.4,39,23,17,43,87.3,188,Homme
14.3,12,19,14.3,123.5,104.9,98.6,99.2,103.3,35,29.3,35.9,23.5,18.1,65,80,174,Homme
14.2,11.2,19.1,14.5,121.4,112.8,89.5,96.9,100.9,38.5,28.7,35.9,22.1,17.1,45,82.3,176.5,Homme
14.6,11.2,19.2,14.8,112.3,95.7,82.9,89.6,94.8,32.2,25.3,33.4,21.4,16.3,37,73.6,180.3,Homme
13.8,11.8,20,15.8,113.2,104.9,90.1,90.8,96.6,32.9,26.5,35.6,22.5,17.8,55,74.1,167.6,Homme
15.8,12.4,20.7,15.8,121.7,109.1,78.9,91,98.1,38.5,30.1,37.2,23.4,19.6,33,85.9,188,Homme
15.6,10.6,20.2,14.8,116.6,105.4,80.7,87.4,95.5,38.3,28.6,35,23.3,17.3,25,73.2,180.3,Homme
14.4,11.3,19.6,14.8,117.8,104.3,94.3,99.4,100.4,35,26.7,35.5,22.6,17.3,35,76.3,167.6,Homme
14.6,10.2,18.4,15.3,118,100.5,70.2,79.3,92,32.1,26.7,33.2,23.7,18.4,28,65.9,183,Homme
15.4,12,20.5,16.8,131.1,111.8,83.6,92.7,101.5,40.4,31.7,36.7,25.5,19.4,26,90.9,183,Homme
15.2,11.3,20,16.1,121.4,109.5,91.9,96.5,103.3,36.5,29.1,34.6,25.1,18.9,43,89.1,179.1,Homme
15.4,11.5,19,14.8,116.3,101.2,71.8,82.3,87.6,34.2,29.2,34.1,23.1,18.3,30,62.3,170.2,Homme
16.1,11.5,19.3,15.8,121.8,103.3,85,90.8,97.9,35.2,29.4,34.9,23.5,17.3,26,82.7,177.8,Homme
14.9,11.8,18.9,13.6,118.2,101.6,85.7,91,95.9,34,28.4,35,21.1,16.3,51,79.1,179.1,Homme
16,10.7,21,16.8,126.3,103.1,96.5,99,111.8,34.8,27.5,41.7,24.3,16.7,30,98.2,190.5,Homme
15.6,11.5,21.2,15.9,121,104.6,82.4,85.7,99.9,38.6,32,38.4,25.4,18.1,24,84.1,177.8,Homme
14.3,11.1,21,14.8,123.1,104.3,86.3,87.8,103.3,36.4,30.4,39.3,27.7,18.4,35,83.2,180.3,Homme
14.5,10.5,19.4,15.3,114.9,95.9,83.2,88,100.6,34,28.2,36.3,25.2,17,37,83.2,180.3,Homme
11.2,9.2,17,12.3,95,83,66.5,79,92,24.3,20.5,32,21,13.5,22,51.6,161.2,Femme
12.1,9.9,19.3,12.8,99.5,78.5,61.5,70.5,90.5,27.8,24,38.5,22.5,15,20,59,167.5,Femme
11.3,8.9,17,12.2,88,75,61.2,66.5,91,24,22,32.5,19,14,19,49.2,159.5,Femme
12.3,9.5,18.6,13,97,86.5,78,91,99.5,28,24,35.2,23,15,25,63,157,Femme
11.5,9.1,17.2,12.4,103.3,91,70.5,80.5,91.5,26.9,22.7,33,19.9,14.5,21,53.6,155.8,Femme
12.5,10,17.2,13.2,93.5,79.5,66.5,78.5,94,26.5,22.5,34,23,14.5,23,59,170,Femme
12.3,9.4,17.2,12,93.3,77,58,64,85.5,24.1,22,32.5,19,13.9,26,47.6,159.1,Femme
13.3,10.7,19.8,13.8,94.5,88,74.5,87,104,29.2,26.2,38.5,22,16.8,22,69.8,166,Femme
12.1,9.8,17.8,12.7,98.6,85,73.5,92,104.1,29,23.4,35.3,21.6,15.2,28,66.8,176.2,Femme
13.4,11.5,20.9,13.2,115.5,98.8,90.5,103.5,108.1,33.6,26.6,37.2,22.6,16.3,40,75.2,160.2,Femme
11.8,8.6,17.1,11.9,97.9,79,66.5,74,90.3,24.8,21,32.2,19.9,13.8,32,55.2,172.5,Femme
12.8,9.7,17.6,13.2,97.7,77.6,61,71.8,91.6,25.4,22.6,34,20.5,15.3,25,54.2,170.9,Femme
12.8,9.2,18.1,12.4,100.5,85,69.5,81.5,94.4,25.9,22.9,36.1,20.9,14.4,25,62.5,172.9,Femme
10.6,8.3,15.9,11.6,88.7,76.7,62,74.1,80.9,24,20.5,30.8,17.9,13.2,29,42,153.4,Femme
11.5,8.6,16.8,12.2,96.6,76.7,63.4,69,87.7,25.6,21.6,34.4,19.1,13.8,22,50,160,Femme
11.5,9,17.2,11.8,92,82,71,69,88.5,26,21.8,33.5,21,14,25,49.8,147.2,Femme
11.2,9.6,16.7,12.6,90,79,59,79,88.5,23.5,21,32.5,18.5,14.5,23,49.2,168.2,Femme
13.4,11,18.9,13.6,104,89.5,74,92,101,31,26.5,38.6,23.8,17,37,73.2,175,Femme
10.3,8.1,16.2,11.6,90.1,73.5,60.5,68.3,88.5,24.6,20.6,29,19,13.2,19,47.8,157,Femme
13.4,10.5,19.2,13.2,104,90,75,80.5,99,28.7,24.9,37,20.6,15.9,23,68.8,167.6,Femme
11.1,9.4,16.4,12.3,91,80,65,78.3,91,27,23,32,22,13.8,25,50.6,159.5,Femme
13.7,10.6,21.5,14.4,111.4,94.5,82.2,94.2,110.2,32.5,26.8,40.5,23,16.6,26,82.5,175,Femme
13.2,8.9,18.1,12.3,96.2,83.8,70.2,82.5,94.2,25.9,23.2,34.3,19.4,14.5,24,57.2,166.8,Femme
12.5,11,21,14.2,117.1,95.2,85,91.2,111,34.4,28.3,40.1,24.2,17.6,29,87.8,176.5,Femme
13.1,10.2,20,13.1,101.5,91,75,85,103,31.5,26.5,38.2,23,16,22,72.8,170.2,Femme
12,10.2,18.4,12.9,95.1,80,63,76.5,90,24.6,22.3,35.2,20.9,15.2,30,54.5,174,Femme
12.6,10,18,12.7,97.1,81.7,70,81.5,96,26.3,22.6,37.2,21,15,23,59.8,173,Femme
12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,27.4,23.4,37,21.3,15.6,38,67.3,179.9,Femme
12.6,10.4,18.8,13.1,103.7,90.9,78.7,83.5,101.5,29.5,25.3,35.4,21.3,15.6,23,67.8,170.5,Femme
12.4,9.5,17.2,12.3,89.2,78.5,61,73,82.5,24.5,22.5,32.5,20.5,14.5,19,47,160,Femme
11.3,8.9,17.2,12.3,86,78,64.2,69.8,89,23.2,21.2,33,20.5,14,46,46.2,154.4,Femme
11.9,9.6,18.2,12.7,98.1,80.2,63.1,78.9,93.9,26.4,23.1,35,20.1,14.9,20,55,162,Femme
13.2,10,20.3,13.6,114,99,85,92.5,106.4,31.6,26.6,39.6,23.3,15.9,22,83,176.5,Femme
11.8,9.9,18,12.7,95,80,66,78,92,25,22.2,33,20.5,14.4,25,54.4,160,Femme
11.3,9.2,16.5,11.8,87,75.5,65,76.7,86,24.5,20.5,31.5,20,14,21,45.8,152,Femme
12.3,10.1,16.8,12.4,100.8,82.6,63.2,70.5,89.1,27,23.6,33.6,20,15.6,23,53.6,162.1,Femme
12.7,10.4,18.2,13.1,112.2,94.5,83.6,94.2,104.1,31,25.4,37.2,22.3,16.1,31,73.2,170,Femme
11.5,9.4,17.2,12.1,98.7,83.9,68,76.1,88,26.2,23.2,33.2,21.2,14.6,29,52.1,160.2,Femme
12.9,9.8,17.8,13.8,100.1,92.8,75.7,88.6,102.6,31,24.9,35.5,21.5,15.3,19,67.9,161.3,Femme
12.7,10.4,18.9,14,100.3,85.3,65.5,74.4,95.9,27.8,23.9,35.6,21.9,15.2,21,56.6,166.4,Femme
12.4,9.4,18.8,13.6,100.5,84.4,66.9,79.7,98.8,28.5,23.7,35.9,20,15.1,23,62.3,168.9,Femme
13.1,11.5,18.6,13.6,101.2,87.6,67.9,82.7,93.5,29.6,24.5,37.1,20.6,15.2,24,58.5,163.8,Femme
11.2,9.2,17.9,13.2,96,81,67.8,73,92.9,26.3,23,32.3,18.8,14.3,20,54.5,167.6,Femme
12.8,9.8,17.4,12.9,92.8,84.1,63.2,75,86.9,26.5,23.5,32.3,18.9,15,19,50.2,160,Femme
11.8,9.2,17.3,12.6,95.5,88.2,73.1,80,94.9,27,24.3,34.9,22,15.1,20,60.3,161.3,Femme
12.6,10.4,18.4,13,98.7,88.1,65.3,75.8,95.3,27.7,24.5,33.1,21.2,15.7,19,58.3,167.6,Femme
12.6,9.2,17.6,13.2,96.9,84.9,65.6,75.5,93.3,27.7,24.2,35.1,21,14.7,20,56.2,165.1,Femme
12,9.2,16.8,12.4,91,81.2,62.7,75.4,90,25.3,22.7,32.6,19.8,13.8,19,50.2,160,Femme
12.8,10.5,18,14.4,106.3,91.6,81.8,96.5,99.3,28.3,25.2,35,21.4,15.3,22,72.9,170,Femme
12.4,9.8,18,13.8,99.8,88.4,72.1,87.3,95.6,29,24.8,34.3,21.9,14.3,39,59.8,157.5,Femme
12.9,11,18.4,14.3,105,87.6,68.6,80.7,95.8,28.5,24.1,35.6,20.7,15.5,18,61,167.6,Femme
12,8.9,17.4,13,106.2,91.3,80,97.9,104.6,30,23.1,36.3,21,14.6,19,69.1,160.7,Femme
12.9,10.6,17.9,13.4,97.7,87.2,64.9,75.9,92.2,28,24.2,34,20.7,15.5,26,55.9,163.2,Femme
11.7,9.2,16.8,12.4,97.4,82.2,61.7,66,80.7,23.7,21.6,30.5,20.7,14.6,20,46.5,152.4,Femme
12.6,9.8,17.6,12.6,96.3,82.1,64,73.6,98.1,25.8,23.9,33.7,20.3,14.6,20,54.3,157.5,Femme
13,10,17.6,13.8,98,82.6,58.6,73,89.6,27.1,23.1,33.2,20.7,14.4,26,54.8,168.3,Femme
13.4,9.6,18.4,13.4,94.5,86.5,68.3,89.2,94,26,22.6,35.9,19.7,14.6,21,60.7,180.3,Femme
12.4,9.8,18.3,13,101.4,85.3,69.5,74.9,94.7,24.9,22.8,34.9,20.1,14.9,21,60,165.5,Femme
12.4,9.4,18.1,12.7,95.1,84.7,70.5,86.1,94.1,28,23,33.5,20,14.6,38,62,165,Femme
13,9.4,18.6,12.9,101.1,86.8,69.8,76.5,93.7,25.4,23.4,35.9,21.5,15.1,23,60.3,164.5,Femme
12.4,10,18.4,13.6,97.4,85.2,69,76.3,86.7,26.6,22.7,31.6,19.6,15.3,37,52.7,156,Femme
13.4,10.5,19.8,13.1,104.8,93.9,81,93.2,105.9,31.3,26.8,38.1,21.7,15.9,19,74.3,160,Femme
11.5,9.9,17.1,13,94.5,84.5,71,80.5,97.5,28,23,34,20.6,15,25,62,163,Femme
13.8,10.8,19.8,14.3,103.2,90.7,73.6,79.8,105.3,29.5,26.6,38.8,24.3,15.9,20,73.1,165.7,Femme
14.2,10.6,20.7,13.1,110.8,97.4,96.3,104.2,102.6,34.3,26.5,38.3,22.9,16.4,41,80,161,Femme
10.9,9.4,17.3,12.6,94.6,83.3,65,68.2,91.6,27.7,23.2,33,18.9,14.1,26,54.7,162,Femme
11.5,9.5,17.8,12.1,96.6,82.1,62.8,70.6,83.9,24.6,21.4,34,20.9,14.3,21,53.2,166,Femme
12.6,10.8,19.5,13.6,102.8,92.2,83,101.4,108.1,29.8,24.6,38.1,20.7,16.6,47,75.7,174,Femme
11.5,10.2,18.4,13.8,96.9,83.6,67.6,86.2,99.1,26.4,23.3,38.5,22.1,15.6,19,61.1,172.7,Femme
13.4,10,18.8,14.3,95.6,82.6,65.4,74.8,89.3,26.4,23.8,34,19.1,14.7,44,55.7,167.6,Femme
12.2,9.1,18,12.4,92.4,77,61.6,74,89.9,26.3,23.1,33.3,19,14.2,35,48.7,151.1,Femme
12,9.3,17.7,13.2,93.7,79.3,63.2,75.5,85.8,24.2,22.4,32.5,18.4,14.7,32,52.3,164.5,Femme
12.8,10.4,17.8,14.1,96.1,84.3,59.4,74,85.8,26.9,23,32.8,19.7,15,46,50,163.5,Femme
12.6,10.5,18.9,14.4,100.1,85.6,62.7,74,96,28,23.6,35.4,21.3,15.4,22,59.3,152,Femme
13.2,10.4,19.4,14.3,98.8,85,66.6,82,98.7,30.4,25.2,35.7,21.8,15.9,49,62.5,169,Femme
12.8,9.8,18.7,13.8,92.2,79.1,64.6,82.5,94.9,24.7,21.7,37.4,21,15,52,55.7,164,Femme
11.5,9.4,17.4,13.1,97.3,85,65.7,77.7,90.5,29.4,23.1,33.2,20.3,14.4,25,54.8,161.2,Femme
12,9.6,19,14.2,90.5,79,63,79.2,86.6,26.4,22.5,32.2,20.2,15,48,45.9,155,Femme
12.9,11,18.2,13.4,110.5,96.2,78.5,93.4,103,30.2,25.9,37,23.2,16.2,41,70.6,170,Femme
13.1,10.1,17.9,12.6,103,86,68.2,76.2,97.9,29.8,25,36.8,21.8,16.2,18,67.2,176.2,Femme
13.1,10.4,22.1,14.4,109,89.8,68.5,80.2,98.1,30.1,26.2,40.9,23.3,16.4,30,69.4,170,Femme
12.1,10.3,17,12.4,104.8,84.5,68.8,70.6,94.8,27,23.4,34.4,21.6,14.6,20,58.2,162.5,Femme
14,11,19.1,13.5,109.2,88.2,69,77.6,96.5,28.6,25.2,37,22.2,16.2,24,64.8,170.3,Femme
13.6,10.4,18.5,13.4,117,99.5,78,87.5,103,31.1,26.6,35.2,21.8,16.2,23,71.6,164.1,Femme
12,9.9,17.5,12.7,93.9,76.1,62,70.8,86.8,24.3,22.3,34.2,20.2,14.4,30,52.8,169.5,Femme
12.6,9.9,17.5,12.6,105.5,85.8,65.8,70.5,89.3,27,23.2,36.8,22.1,15.8,23,59.8,163.2,Femme
11.3,9.2,16.9,11.9,99.4,82,65,77.2,89.5,26,21.4,34,21.4,14.4,45,49,154.5,Femme
10.1,9,16.3,11.5,89.5,77.5,64.9,74.5,88.4,25.6,22.4,30.9,19.1,14,20,50,159.8,Femme
12.2,10.1,17.8,13.5,98.5,85.7,71.5,82,100.5,28,24.2,36.6,21.8,15.6,20,69.2,173.2,Femme
11.9,9.7,18,12.5,94.9,78.8,61.4,78.8,94,27.1,22.8,35.4,21,15,23,55.9,170,Femme
12.4,9.7,18.5,13,96.3,88,75.4,90,101.3,28.4,22.6,37.6,21.7,14.8,21,63.4,161.4,Femme
11.8,10.6,18.8,13.3,96.8,80.2,67.2,78.3,95.5,27,22.2,36,22.2,15.6,28,58.2,169,Femme
11.9,10,18.6,13.6,102.5,85.6,69.5,75.5,95.3,28.5,24.4,35.2,21.8,15.4,45,58.6,166.2,Femme
11.6,9.4,16.3,11.2,95.2,81.3,57.9,66.4,84.1,26.6,22.2,33.6,19.6,14,24,45.7,159.4,Femme
12,9.5,17.5,11.5,103,84.6,64.4,77.9,91,26.6,23.3,32.7,19.4,14.2,25,52.2,162.5,Femme
12.1,9.8,16.8,12.2,99.1,82.2,62.3,68.7,83.9,24.4,22.1,32.4,21,14.8,19,48.6,159,Femme
12.4,10.2,17.2,11.8,104.1,84.9,68.7,78.6,93.1,28.2,23.8,34.6,21.5,15,20,57.8,162.8,Femme
11.1,9.6,18,13.2,99.5,81.5,68,84.6,92.3,27.4,23,34.5,21.6,15.6,29,55.6,159,Femme
13.4,10.9,18.2,13,110.2,89.9,66,79.9,97.1,27,24.2,37.2,23.2,16.2,24,66.8,179.8,Femme
12.3,9.9,17.1,12.2,107.1,89.8,71.2,85.7,97.5,28.2,25.2,34.2,20.4,15.4,24,59.4,162.9,Femme
11,8.9,17.8,12.2,95.7,80.8,64.8,79.8,92,26.5,22.6,31,20.4,14.4,25,53.6,161,Femme
11.6,9.1,21,12.6,103.4,88.4,78,85.6,112.1,33.8,24.6,38.2,22,14.4,31,73.2,151.1,Femme
11.5,9.1,17.1,12.3,94.6,80.2,60.7,77,89.9,25.2,22.4,34.2,19,14.6,22,53.4,168.2,Femme
12.6,9.8,18.6,12.9,104.5,89.5,75,95,104.9,29.6,23.9,37.6,22,15.1,20,69,168.9,Femme
10.9,9.4,15.7,11.5,97.7,83.7,68.6,83,94.2,26.2,22.1,32.2,19.9,14.6,32,58.4,173.2,Femme
12.1,9.6,18,13.6,96.4,82.5,67.1,75,90.4,27.3,23.6,35.9,23.8,15.3,25,56.2,171.8,Femme
13,10.6,19.1,13.4,103,85.5,68,84.5,99.5,26.5,24.2,40.5,23.2,15.8,19,70.6,178,Femme
11.6,9.9,18.8,13.1,103.4,88.3,71,87.1,98.7,28.2,23.6,35.6,20.8,15.5,23,59.8,164.3,Femme
12.7,10.6,18.2,12.1,109.5,91.5,76,82.5,103.5,29.5,25.2,39.2,21.8,15.8,22,72,163,Femme
12.4,10.2,18.6,12.7,110.7,92.2,70.3,82.8,100,30.8,25.4,37,23,16,20,65.2,168.5,Femme
11.7,9.4,16.9,11.7,102.2,80.5,69.5,81,95.2,27.4,23.8,35.4,21.3,15.2,27,56.6,166.8,Femme
14.1,12.2,24.3,12.9,129.5,108,101.5,105.5,114,40.3,30.8,45.6,25.8,18.2,34,105.2,172.7,Femme
10.7,8.7,16.8,11.3,99.2,80,67.2,75.2,91.2,27.1,23.2,34.6,20.3,14.2,25,51.8,163.5,Femme
13.2,10.9,18.1,13.1,104.7,89.5,68.7,81,93.8,30,24.4,35.9,22,16,26,63.4,169.4,Femme
11.8,9.2,18,11.4,98.9,84.9,66,81,92,26.4,22.6,35.4,21,14.5,19,59,167.8,Femme
10.8,8.7,16.8,12.2,98.5,80.8,67.5,75.4,85.8,24.8,21.5,33,20,14,26,47.6,159.5,Femme
12.9,10,18.1,13.1,102.2,81,65.2,75.9,95.4,27.2,25.3,37.5,23.2,15.8,25,63,167.6,Femme
11.5,9.5,16.1,9.9,100.2,88.7,64.2,76.8,88.4,29,23.8,33.9,20.5,15,20,55.2,161.2,Femme
10.6,9.2,16.4,11.7,85.9,74.5,61,65.3,84.5,22.4,19.6,30.4,17.4,13.2,21,45,160,Femme
11.6,9.8,17.9,12.4,99.8,81.9,60.2,64.2,91.7,26,23.2,36,21.2,15.2,18,54,163.2,Femme
11.5,9.6,16.6,11.6,93.3,75.8,62.6,72.9,87.4,26.4,21.8,34.5,20.7,14.4,19,50.2,162.2,Femme
12.8,9.2,18.8,12.5,107.3,88,72.7,76.7,95.9,29.5,25.3,36.8,22.4,16.6,27,60.2,161.3,Femme
11.3,9.5,16,11.2,90,72.6,58.5,67.2,84.3,25,20.7,31.7,20.1,13.1,26,44.8,149.5,Femme
13.1,11,17,12.9,101.5,88,67.5,79.5,96.5,28.4,24.6,35.6,21.8,16,36,58.8,157.5,Femme
12,9.4,17.7,12.6,105.1,86,66.1,73.2,91.8,27.4,23.8,35,20.2,14.9,20,56.4,163.2,Femme
12.4,10.5,18.4,12.8,101,85.5,68,86.1,101,28,23.3,36.1,21.6,15.6,28,62,172.7,Femme
9.9,8.9,17,11.5,91.9,80.4,64,85,92.6,25.6,20.7,32.7,18.9,13.4,32,49.2,155,Femme
11.8,9.2,17.8,11.5,112.1,98.1,90.1,90.1,95.2,32.1,25.8,34.7,21.5,15.8,32,67.2,156.5,Femme
12.1,9.4,16.1,12.2,98.2,82,64.1,74.1,96,26.6,23.2,35.2,21,14.8,23,53.8,164,Femme
11.2,9.9,16.8,12.1,102.5,89,72.4,80.3,89.9,27.6,23.8,33.2,21.3,14.6,20,54.4,160.9,Femme
11.6,8.5,16.8,11,98.4,85.8,71,85,92.7,28.4,23.6,34.2,19.8,13.8,20,58,162.8,Femme
12.4,9.9,18.2,12.5,96.8,85.9,69.1,77.2,94.1,28.9,23.1,35,20,15,20,59.8,167,Femme
13,9.2,17.3,12.2,103.9,82.5,66.1,74.9,93.8,27.8,24,35.3,22,14.6,23,54.8,160,Femme
10.4,8.7,16,11.1,92.7,74.5,59.5,65.5,78.8,23.2,20.8,31.6,18.6,13.8,20,43.2,160,Femme
11.5,9.7,17.5,12.8,105,89.4,71.5,80.6,96,26.8,22,33.8,21.1,15.3,28,60.5,168.9,Femme
11.2,9,16.9,12.2,94,80.3,65,73.3,84.9,25,22.2,31.6,18.8,14.2,23,46.4,158.2,Femme
11.6,8.9,17.9,11.5,101.5,85.6,71.5,82,97.5,28.4,23.5,39.1,20.4,14.4,19,64.4,156,Femme
11.2,9.5,16.1,11.9,92,83,63,72,86,24.1,22,30,20.4,14.4,28,48.8,160,Femme
13,10.9,17.5,13,108.5,88.2,70,81.2,96.8,30.1,25.2,35.8,21.7,16,19,62.2,167.1,Femme
11.1,9,17.1,12,93.8,85.5,70.4,82.4,93.5,28.3,21.9,33.1,19,13.9,29,55.5,158,Femme
12.3,10.4,18.3,12.7,99.8,80.6,64.3,75,93,28.2,23.8,35.6,22,15.5,32,57.8,167.6,Femme
12.5,10,18.1,13,100.3,81,66,73.2,90.2,26.8,23.8,34.7,21.4,15.2,20,54.6,156,Femme
12.3,9.7,18.4,13,101.5,83.6,70.5,78.5,91.9,30.5,24.3,35.8,20.4,15.7,28,59.2,162.1,Femme
12,9.1,17.5,12.1,94.7,79.4,62,73,88.5,24.7,22.4,33.5,19.4,14.5,36,52.7,173.4,Femme
11,8.4,16.6,11.1,103.1,82.9,67.6,73.9,90.2,30.2,24.2,34.1,20.6,14.8,22,53.2,159.8,Femme
11,9.3,18.7,12.4,94.5,83.2,65,80.9,97.6,27.2,22.8,38.6,20.6,14.8,20,64.5,170.5,Femme
11.9,9.4,15.9,11.9,97.1,78.1,64,75.9,95,25.2,23,32.3,20.3,13.4,22,51.8,159.2,Femme
11.6,9.2,18.2,12.1,98,82.4,70.5,81.6,98,27.2,23.2,35.6,20.1,14.6,32,56,157.5,Femme
12,9.2,18.4,14.2,102.4,90,79.2,95.2,97.4,27.8,23.4,36,23.8,14.1,40,63.6,161.3,Femme
13.9,10.6,18.9,14,109.1,92.4,71.1,91.5,98.2,29.6,24.6,34.3,20.7,15.6,40,63.2,162.6,Femme
12.6,9.4,18.2,13.2,94.7,86.7,74.7,90.8,100,31,23.7,35.7,20.9,14.2,42,59.5,160,Femme
13,9.8,18.4,13.8,98.2,84,62.9,76.8,95.5,26.4,23.1,34.6,20.4,14.7,40,56.8,168.9,Femme
12.6,9.6,18.8,12.2,101.5,86,70.6,91.9,101.9,29.1,24.2,37.2,19.9,15,44,64.1,165.1,Femme
13,9.3,17.7,13.8,96.6,84.5,61.6,81,87.6,27.4,23.7,32.4,20.3,14.6,30,50,162.6,Femme
13.2,10,19.6,14.1,106.1,91.2,74.2,98.2,102.6,31.4,25,37.6,24.3,15.4,28,72.3,165.1,Femme
12.8,9.8,18,14,100.1,81.1,65.5,82.3,90.4,26.8,22.3,34.2,21.5,14.5,37,55,166.4,Femme
12.2,9.2,17.6,12.8,105.3,87.6,67.7,84.2,92,28.2,23.8,33,18.8,14.7,40,55.9,160,Femme
12,8.4,19.4,12,99.8,88.2,72.9,97.4,102.2,29.9,24.1,33.8,21,15.1,45,60.4,152.4,Femme
13.2,9.3,18.6,13.8,103.9,88.2,72.1,96.3,106.7,27.3,23.1,34.6,23.5,14.7,35,69.1,170.2,Femme
14,10.6,21.2,14.5,111,104.2,93.4,111.1,109.8,35.7,28.6,41.5,22.3,17.3,41,84.5,162.6,Femme
13.1,10.6,18.4,13.4,99,84.8,60.7,78,89.1,26.6,22.8,32.5,21.2,14.1,27,55.9,170.2,Femme
12.9,9.8,18,12.8,102.5,84.3,69.2,85.3,93,27.9,23.7,35.5,21.9,15.1,20,55.5,158.8,Femme
12.7,9.8,18.1,13.2,105.6,91,75.5,90.7,98.6,31.5,24.8,37.2,20.3,14.6,24,69.5,172.7,Femme
12.4,10,19.6,13.8,99.5,90.5,85.6,111.7,112.1,31.3,25,35.5,21,14.6,36,76.4,167.6,Femme
12.4,10,19.4,13.6,106.5,89.6,71.6,92.7,95,27.2,24.3,36.2,20.1,14.6,27,61.4,162.6,Femme
13.2,10.3,19,14.4,104.1,89.3,75.5,98.9,100.2,30.3,23.8,37.3,22.5,15.1,32,65.9,167.6,Femme
12.4,9.4,18.4,13,99.7,90,73.7,92.7,101.2,28.1,23.3,33.9,21.2,14.9,64,58.6,156.2,Femme
13.8,10.7,19,14.4,106.6,88.2,67.9,86.9,100.8,31,26.6,36.6,22.2,16,21,66.8,175.2,Femme
13.1,10.6,18.6,14.2,97.2,83.5,71.2,83,96.5,25.2,21.7,33.7,21,15,32,56.6,172.1,Femme
12.4,9.6,18.4,14.2,100.8,91,69.3,85.9,93.2,29.7,24.1,34.8,21.5,14.6,35,58.6,162.6,Femme
11.8,9.4,17.3,12.4,100.7,88.2,75.6,94.7,95.8,30,22.2,34.6,19.9,13.7,41,55.9,160,Femme
13.1,10.8,20,13.8,99.1,82.2,63.8,81.8,97.6,27.8,23.6,35.9,22.6,15.4,40,59.1,165.1,Femme
14,10.5,18.9,14.8,108.9,98.9,83.6,108.6,108.3,31.9,26,38.1,24.5,16,29,81.8,182.9,Femme
12.7,9.6,18.6,14.2,109.8,97.9,84.9,98,102.4,32,25.7,37.6,21.6,15.5,40,70.7,166.4,Femme
12.4,9.6,17.9,13.8,99.5,81.7,66,85,94.3,28,21.1,32.1,21,14.4,24,56.8,165.1,Femme
12.4,10,18.6,13,100.5,86.1,68.3,85.3,96.5,26,22.6,33.9,21.8,15,23,60,177.8,Femme
12.9,10,17.9,14,97.4,87.1,63.8,88.3,94,28.1,24,33.1,22.1,16,41,58.2,165.1,Femme
12.4,9.4,19.2,11.5,105,76.8,73.6,106.3,106.2,31.4,26.2,39.6,24.8,16.2,44,72.7,175.3,Femme
12.8,10,17.7,12.8,102.9,87.9,76.3,93.8,98.6,31.2,23,32.3,20.3,15.1,53,54.1,154.9,Femme
12.4,10.2,17.1,13.4,93.9,81.6,58.8,77.4,89.3,25.4,22.4,33.8,21,14.8,19,49.1,158.8,Femme
